city,latitude,longitude
0,62300.0,23016.6667
1,63066.6667,22600.0
2,66383.3333,24000.0
3,62833.3333,27350.0
4,62216.6667,26783.3333
5,65600.0,27616.6667
6,60100.0,22850.0
7,61933.3333,26983.3333
8,63600.0,27800.0
9,62216.6667,30200.0
10,62633.3333,30200.0
11,60166.6667,19533.3333
12,64533.3333,25800.0
13,63383.3333,23116.6667
14,61333.3333,23750.0
15,60169.7222,24296.3889
16,61666.6667,28233.3333
17,60050.0,22466.6667
18,60916.6667,26850.0
19,62550.0,27616.6667
20,65483.3333,26833.3333
21,60350.0,21966.6667
22,62100.0,25100.0
23,62750.0,22583.3333
24,64983.3333,25483.3333
25,60266.6667,20783.3333
26,65850.0,29566.6667
27,63200.0,26283.3333
28,63016.6667,23833.3333
29,61050.0,27716.6667
30,63566.6667,28950.0
31,62183.3333,30283.3333
32,60216.6667,19716.6667
33,61083.3333,25450.0
34,63833.3333,23883.3333
35,65333.3333,25750.0
36,63633.3333,29066.6667
37,62483.3333,28800.0
38,62533.3333,24116.6667
39,61050.0,23850.0
40,61783.3333,21950.0
41,62566.6667,29483.3333
42,63450.0,23116.6667
43,63583.3333,23133.3333
44,63800.0,26900.0
45,61616.6667,23416.6667
46,64250.0,29500.0
47,67216.6667,24200.0
48,62633.3333,22966.6667
49,61866.6667,28333.3333
50,61033.3333,27033.3333
51,60189.1667,24611.1111
52,60300.0,24850.0
53,64250.0,28050.0
54,60083.3333,20716.6667
55,60666.6667,25583.3333
56,63633.3333,26383.3333
57,60260.2778,25068.6111
58,60666.6667,22766.6667
59,63033.3333,24283.3333
