Instance,Best Tree,Best Cost
d8_01.csv,"[(0, 3), (0, 5), (1, 4), (1, 6), (2, 4), (2, 5), (3, 7)]",9219.530549184094
d8_02.csv,"[(0, 3), (1, 2), (1, 4), (1, 6), (3, 5), (4, 5), (6, 7)]",14219.320405751363
d8_03.csv,"[(0, 2), (0, 5), (1, 3), (1, 6), (1, 7), (2, 7), (4, 6)]",15037.558393017049
d8_04.csv,"[(0, 4), (1, 2), (1, 6), (1, 7), (2, 3), (4, 5), (5, 6)]",13304.543891443253
d8_05.csv,"[(0, 1), (0, 3), (0, 4), (1, 5), (2, 6), (3, 7), (4, 6)]",11659.26458940241
d8_06.csv,"[(0, 3), (0, 7), (1, 7), (2, 4), (2, 6), (4, 5), (5, 7)]",10759.167392563066
d8_07.csv,"[(0, 2), (0, 6), (1, 3), (1, 4), (1, 5), (2, 7), (4, 7)]",15686.02025526968
d8_08.csv,"[(0, 7), (1, 4), (1, 5), (2, 6), (2, 7), (3, 5), (3, 6)]",8661.43624212846
d8_09.csv,"[(0, 7), (1, 4), (2, 5), (2, 7), (3, 4), (3, 5), (3, 6)]",15659.81876529053
d8_10.csv,"[(0, 4), (1, 6), (2, 6), (2, 7), (3, 6), (4, 5), (4, 7)]",13022.161383480496
d8_11.csv,"[(0, 5), (0, 7), (1, 6), (2, 5), (3, 4), (3, 6), (4, 7)]",17674.45784203442
d8_12.csv,"[(0, 7), (1, 4), (1, 7), (2, 4), (2, 5), (3, 6), (5, 6)]",15870.28154086852
d8_13.csv,"[(0, 4), (0, 5), (0, 7), (1, 4), (2, 3), (2, 6), (6, 7)]",14432.34035763074
d8_14.csv,"[(0, 2), (0, 5), (1, 4), (1, 6), (1, 7), (3, 5), (3, 7)]",16105.766120442022
d8_15.csv,"[(0, 2), (0, 5), (1, 2), (1, 3), (3, 6), (4, 6), (6, 7)]",12204.94255410089
d8_16.csv,"[(0, 1), (1, 3), (1, 5), (2, 6), (4, 5), (4, 7), (5, 6)]",13822.79892871264
d8_17.csv,"[(0, 2), (0, 6), (0, 7), (1, 2), (3, 7), (4, 5), (4, 6)]",15894.444553198944
d8_18.csv,"[(0, 3), (1, 2), (1, 7), (3, 7), (4, 5), (4, 6), (5, 7)]",11637.929513607043
d8_19.csv,"[(0, 5), (1, 2), (1, 5), (2, 6), (3, 7), (4, 7), (5, 7)]",13387.429654707918
d8_20.csv,"[(0, 2), (0, 4), (1, 4), (3, 5), (4, 6), (5, 7), (6, 7)]",12844.376789560887
d8_21.csv,"[(0, 6), (1, 7), (2, 3), (2, 4), (2, 6), (3, 7), (5, 7)]",9250.264578453389
d8_22.csv,"[(0, 2), (0, 4), (1, 6), (1, 7), (2, 7), (3, 4), (4, 5)]",13479.1813108852
d8_23.csv,"[(0, 7), (1, 2), (1, 3), (1, 6), (2, 4), (3, 7), (5, 6)]",9734.763026401968
d8_24.csv,"[(0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (2, 5), (3, 7)]",15667.61366781221
d8_25.csv,"[(0, 4), (1, 2), (1, 7), (2, 3), (3, 5), (3, 6), (4, 5)]",12383.086125485603
d8_26.csv,"[(0, 1), (1, 5), (2, 6), (2, 7), (3, 4), (3, 5), (5, 7)]",12934.59722592348
d8_27.csv,"[(0, 3), (0, 5), (1, 2), (1, 3), (1, 4), (4, 7), (5, 6)]",8591.944245483974
d8_28.csv,"[(0, 2), (0, 3), (1, 4), (1, 5), (1, 7), (2, 4), (4, 6)]",12545.898947831596
d8_29.csv,"[(0, 5), (1, 2), (1, 4), (2, 6), (3, 7), (5, 7), (6, 7)]",15716.815102844708
d8_30.csv,"[(0, 3), (1, 4), (1, 5), (1, 7), (2, 7), (3, 6), (4, 6)]",15357.783936316358
