STT,Best Cost,Best Tree,Time,Is Tree?
1,30136.040215622917,"[(0, 7), (1, 14), (1, 6), (2, 14), (2, 5), (2, 13), (3, 11), (3, 8), (4, 13), (5, 9), (6, 7), (10, 13), (11, 14), (11, 12)]",23.16817355155945,True
2,27817.85320659123,"[(0, 14), (0, 11), (1, 11), (1, 3), (2, 5), (4, 10), (5, 13), (6, 11), (6, 9), (6, 7), (8, 14), (9, 13), (9, 10), (12, 14)]",25.718261241912842,True
3,29039.319157060978,"[(0, 11), (1, 6), (2, 9), (2, 5), (3, 11), (3, 8), (4, 9), (4, 12), (6, 7), (6, 8), (9, 13), (10, 13), (11, 14), (12, 14)]",28.203837394714355,True
4,32817.55526668504,"[(0, 12), (0, 11), (0, 13), (1, 6), (1, 7), (2, 12), (3, 9), (3, 8), (4, 10), (4, 9), (5, 13), (6, 14), (6, 13), (9, 12)]",25.737252950668335,True
5,22578.353599384885,"[(0, 13), (0, 12), (1, 7), (1, 3), (2, 5), (3, 8), (4, 9), (4, 10), (5, 13), (6, 14), (6, 7), (9, 12), (11, 14), (12, 14)]",27.538245916366577,True
6,32518.65464955727,"[(0, 9), (0, 11), (1, 6), (2, 13), (3, 7), (3, 8), (4, 10), (4, 5), (6, 10), (6, 14), (7, 11), (10, 13), (11, 12), (12, 14)]",27.795072078704834,True
7,25772.576596829073,"[(0, 11), (1, 14), (1, 11), (1, 3), (2, 13), (3, 8), (4, 6), (4, 5), (5, 13), (5, 10), (6, 7), (6, 12), (9, 10), (12, 14)]",27.563206672668457,True
8,29548.571248629712,"[(0, 11), (1, 6), (2, 13), (3, 8), (4, 9), (5, 10), (5, 13), (5, 9), (6, 7), (6, 9), (7, 12), (8, 12), (11, 14), (12, 14)]",26.548786878585815,True
9,31519.697279997163,"[(0, 7), (1, 7), (1, 3), (1, 11), (2, 4), (2, 5), (3, 8), (4, 9), (6, 14), (6, 7), (9, 13), (9, 14), (10, 13), (12, 14)]",30.340612649917603,True
10,28668.555238132718,"[(0, 14), (0, 12), (1, 6), (2, 10), (3, 8), (4, 10), (4, 5), (4, 13), (6, 7), (6, 8), (7, 12), (9, 10), (9, 12), (11, 14)]",26.78716254234314,True
