STT,Best Cost,Best Solution,Best Tree,Time
1,"[0.536502925492332, 0.057317783486964924, 0.16896666688448037, 0.23721764479774377, 0.7336258708201123, 0.0945600621571222, 0.5337019138761677, 0.2388510009413517, 0.06234290203365078, 0.3067039056225872, 0.7934965054897958, 0.9867164030462825, 0.32591335344855554, 0.21774598551034208, 0.6512992275238959, 0.8038594312525879, 0.9432919967749712, 0.7758654614525744, 0.9328914750327922, 0.3235018436859193, 0.7794039640507723, 0.012149725334965611, 0.5535929445750318, 0.4135298591538832, 0.8855870269523839, 0.3444091155096416, 0.32410150435349705, 0.8650975247478001, 0.1034664802446571, 0.5474272054935644, 0.8246068963883303, 0.5804347305623571, 0.8512719276967996, 0.12929519772652964, 0.928274273709309, 0.8629225350574007, 0.9621906119509147, 0.6483754273689943, 0.8272412237538018, 0.7142280349251746, 0.8009990991640794, 0.8413830382519794, 0.8621508593826613, 0.43859298568885685, 0.39088075532471045, 0.23597077005172962, 0.5897312534895219, 0.12900288963791995, 0.5642496286421043, 0.7860049988421624, 0.4175790677016199, 0.7879848841617892, 0.6743247620082784, 0.3736864018506587, 0.6026167981917682, 0.9486347701657738, 0.04424166760885739, 0.28724117989683073, 0.3410465413572159, 0.7164148360176833, 0.4992378711118345, 0.7460168709420509, 0.5252703601906944, 0.12446994784673737, 0.3567009954929884, 0.26657136151851135, 0.872408263318911, 0.21849760318477152, 0.29319900253904174, 0.33711620217897154, 0.31194696384093923, 0.3714620769263395, 0.6234532945857754, 0.8653928941702445, 0.5637386284989853, 0.7825503569462183, 0.08439025898133312, 0.4236338395526358, 0.21774598551034208, 0.6977654592550451, 0.7691991757641997, 0.5225393630605394, 0.6838187551568706, 0.4395958616391529, 0.21290751443986955, 0.6286985078957084, 0.8109837369503962, 0.21667731685029346, 0.83702222462225, 0.7219079199805601, 0.7989334712498367, 0.5113644551428214, 0.13470639514103322, 0.19781405738380087, 0.7153823027735041, 0.4189277938164614, 0.36427990778296604, 0.9487027923004246, 0.44026161131976094, 0.5549890399549774, 0.6418250379711807, 0.035802386468063885, 0.045554869267989795, 0.06173193888290818, 0.782133561285487]",32561.998474010295,"[(0, 12), (1, 4), (1, 6), (2, 12), (2, 10), (2, 3), (3, 7), (3, 14), (4, 10), (5, 12), (6, 11), (8, 13), (9, 14), (10, 13)]",20.397340297698975
2,"[0.11597160765839698, 0.04392614304942777, 0.39638193912281594, 0.5716049797701046, 0.9013087787044215, 0.751988711840949, 0.17656889865242364, 0.6568415325243996, 0.9060689441099711, 0.5523643915992918, 0.7730547327716014, 0.8950824891729456, 0.6477733027540136, 0.05633797230928317, 0.29548509218524444, 0.5961352211000687, 0.3363903856294508, 0.8182918159253626, 0.9124276144499238, 0.5003124891753797, 0.26752953167749505, 0.9509654279049856, 0.8446890513392084, 0.7333231943339681, 0.022219039471057744, 0.30939471842894595, 0.10151511570500471, 0.780467682491369, 0.45822901888336565, 0.7996440291165213, 0.3990655097788275, 0.9604442520033238, 0.9163895855021111, 0.8161488594445211, 0.20504151093857204, 0.8782301753115727, 0.7472102356513054, 0.8507989181664894, 0.562584382386866, 0.6345177332319848, 0.6436925095591123, 0.7537758062796287, 0.9428307578339792, 0.7955964695374405, 0.16562869112056178, 0.5030986688741652, 0.4759021129459682, 0.7783082268174824, 0.600033702045409, 0.8172433323048796, 0.20116768199272494, 0.8792936014307557, 0.01589342799791127, 0.5007885020380345, 0.20661668820507118, 0.9067039480695255, 0.13915837103068418, 0.7631063952685061, 0.07392916578924347, 0.7007592819978349, 0.49985394669484773, 0.33988653567551586, 0.5896067573230269, 0.04477214544899999, 0.4558735089798791, 0.4563642031077514, 0.04920185757192064, 0.663377267664272, 0.6812037225166411, 0.8224593495681876, 0.36643613906394057, 0.6506438860448887, 0.03749448613939066, 0.000423230042892242, 0.8199032416629833, 0.15403453631431907, 0.12300118219086287, 0.9082023570510249, 0.8121896762654769, 0.8485778343159525, 0.6158189032044459, 0.7947026142539195, 0.35661064832183764, 0.8982896205738109, 0.5906530077827719, 0.9075076772155677, 0.1454942144293534, 0.5771265011424324, 0.7489416450530344, 0.6264666194682674, 0.8424182938801341, 0.9919385156399443, 0.6352958740064557, 0.44003290116318905, 0.2715091990850663, 0.7822346091903527, 0.9055863559332804, 0.7404092799703708, 0.2500218772133187, 0.8049258908617305, 0.23239465146536553, 0.8496856891417688, 0.678299065838892, 0.760105680395629, 0.3253867292173327]",23742.539935601286,"[(0, 9), (0, 5), (0, 12), (1, 9), (1, 6), (2, 7), (2, 8), (2, 13), (3, 7), (4, 10), (7, 14), (8, 10), (9, 11), (10, 12)]",20.066551208496094
3,"[0.39535983533927865, 0.05666158270921018, 0.5440077995994829, 0.12801003509848918, 0.9320540581832758, 0.9223772627683943, 0.390149785861979, 0.3386403424698835, 0.3531962581156324, 0.04302962154867618, 0.006055676996287063, 0.052101190978399936, 0.9626788709033078, 0.8721385969811486, 0.15916314979439206, 0.678076008736319, 0.298140207979525, 0.23826234008774183, 0.5529571208721853, 0.6170390682295577, 0.10867708692391354, 0.9032172782195178, 0.3601425853916721, 0.5290620959004908, 0.279519812319735, 0.788646691402579, 0.45468897262261576, 0.39075908077196475, 0.015308540646928326, 0.3430630680007495, 0.8841339946659472, 0.16117132067165907, 0.8559315900042942, 0.359680770077479, 0.697167798081323, 0.8578179032181207, 0.9210425857591504, 0.18340143658066888, 0.40405344551076905, 0.37667597356166305, 0.652559135764692, 0.7865817039405582, 0.9354401846905878, 0.2783284325143479, 0.2290627229927119, 0.9198679819352119, 0.691974850409171, 0.7363730953252429, 0.9775982373539267, 0.2213125526688009, 0.1184337518906372, 0.7541459617965495, 0.8406834211958898, 0.0538144910255981, 0.0656856951233743, 0.332183923046363, 0.1813520511780763, 0.9895210347942087, 0.7788035953357083, 0.10897603743067263, 0.9032612859612625, 0.689083671418918, 0.1185457113453583, 0.028879273157391472, 0.34983082341585503, 0.49346638039094437, 0.5193798768812717, 0.4962533141921437, 0.5631982759639045, 0.33330901601316176, 0.4000087717635069, 0.74893510893143, 0.584482435091683, 0.9004409013003618, 0.09995331934673879, 0.8758160818966287, 0.7224910304497184, 0.5316730928525821, 0.7007151535878334, 0.38280608471325317, 0.17715283783325253, 0.9954882443242054, 0.07679810623632155, 0.8700642921715067, 0.7619312178360919, 0.6793749716013351, 0.30232551479838976, 0.6509430506789505, 0.5732620143661391, 0.4351328224061206, 0.291703615509598, 0.9730053239297084, 0.4641433831620174, 0.6160996582106527, 0.10787398313952579, 0.7219009154387289, 0.15477217067160587, 0.17062952176887847, 0.6254496522279663, 0.329469300331688, 0.24065247829060576, 0.0689200175924185, 0.15369767875712692, 0.5374117642744853, 0.4249142583077141]",30535.661327921902,"[(0, 13), (0, 5), (0, 6), (1, 9), (2, 12), (2, 8), (3, 13), (3, 7), (3, 10), (4, 12), (6, 11), (7, 12), (7, 14), (9, 11)]",19.071099519729614
4,"[0.7368624448267117, 0.9267047041094874, 0.2125237998844648, 0.4117463605511832, 0.23980287990544247, 0.5163169961676803, 0.4232111694501298, 0.7883283619442119, 0.8465505998938989, 0.10515415870871914, 0.02583461555829536, 0.5126668770443947, 0.08055611321940925, 0.25299033428702977, 0.3124313313504393, 0.5423488521244988, 0.668836430304929, 0.6886409012886247, 0.17659100597901578, 0.30226481522213344, 0.38748487147934507, 0.9689528775117742, 0.6828646634934533, 0.17044852853173798, 0.713512253803436, 0.22621718303501237, 0.7050660350094328, 0.3689247084422298, 0.527360381600857, 0.26284378609260506, 0.23334039623988778, 0.2805468938042266, 0.6798963528692455, 0.1574849840607251, 0.4023948773528244, 0.11693781962970695, 0.45220549649119113, 0.9491829822803646, 0.24732836492399468, 0.34044071305724044, 0.3712921534607151, 0.6732312358419369, 0.8313634477164915, 0.5960034392288597, 0.09842293292933701, 0.9082218308283495, 0.010983957644754017, 0.3701475512498481, 0.05317974453233476, 0.8071701583863728, 0.7743608984203416, 0.2925170985000035, 0.45730268491068193, 0.9656514450448611, 0.7299694720584776, 0.7904408275716298, 0.10153434393951832, 0.26700225343816053, 0.09792703227378186, 0.5557991342630709, 0.7272612480750096, 0.021624772477713994, 0.36197779636730565, 0.302782913654119, 0.7113689771791082, 0.18782697364271417, 0.6374322855070732, 0.7836283441992611, 0.981846627264553, 0.33651975817185364, 0.7963978964071178, 0.9043434186453739, 0.8291085995005477, 0.8950996383679847, 0.7002550369524286, 0.5901891899863997, 0.4799822679596426, 0.13259422404738663, 0.3769939710351544, 0.8323992881571898, 0.7584683133155342, 0.7758503443209697, 0.4755819135756302, 0.7419206165072076, 0.5924549560403867, 0.9995450806658287, 0.8561473859310097, 0.9460575548153506, 0.49469164186285774, 0.6725944593613054, 0.9521409343083638, 0.9635675407540589, 0.5401047076772725, 0.8916619036719209, 0.6049279659268053, 0.15477687685445052, 0.10042531888427231, 0.8370648833534353, 0.22148296586625116, 0.8648686351474378, 0.282054701356264, 0.3917105309397735, 0.6795980867113643, 0.5219402301507902, 0.1582531048687118]",36455.70225795865,"[(0, 2), (1, 9), (2, 13), (3, 10), (3, 7), (3, 14), (4, 8), (5, 14), (5, 13), (6, 11), (8, 10), (8, 12), (9, 11), (9, 10)]",19.912617683410645
5,"[0.09281648389386488, 0.6468983694286012, 0.6331667305376828, 0.7233548600329981, 0.7811136528339814, 0.14585938606563764, 0.5531875666040693, 0.7189203625715422, 0.555414470241024, 0.06636774320580785, 0.338407210224566, 0.9773257807450141, 0.17329125309168592, 0.3984590626081803, 0.5604839231174895, 0.7327264604017675, 0.7235407941726923, 0.16801454374506286, 0.7934170502232687, 0.5186766329352104, 0.08636699543461746, 0.9132713890832159, 0.042268298733413756, 0.760727680735394, 0.8330517018875226, 0.23666292780851939, 0.4474528222743749, 0.9594293675877277, 0.056157930888086516, 0.3208353526253078, 0.5935243743529726, 0.562716037471853, 0.9008833907196261, 0.7877258266831296, 0.46350252863004315, 0.11714808888258932, 0.17861258314572925, 0.276367445779623, 0.6901327025729789, 0.7754112746004157, 0.38962458023556734, 0.38402471259338, 0.6250218107094698, 0.8332253200111666, 0.2866458200833949, 0.5604897908096927, 0.01894570187163147, 0.389148155067522, 0.7397451299956961, 0.35397756979283734, 0.7506946397298621, 0.6463457290581165, 0.9545412737177762, 0.05381482252192682, 0.1881586409984919, 0.9293765690974852, 0.7209785027550157, 0.40773529951454923, 0.24914371382482592, 0.7723803988439025, 0.9460442348228876, 0.854978947566405, 0.9099360774057833, 0.8806173403145535, 0.9641484846184806, 0.4932965059884743, 0.49433070211195584, 0.605717030960801, 0.9111108944285644, 0.10933035074503661, 0.3096554594429717, 0.9954132710749058, 0.8263615069338208, 0.4295745171908031, 0.8005554116100103, 0.5257036573212173, 0.7381741337706778, 0.22960914681086741, 0.052251663943761684, 0.9790374955440743, 0.5289004615248775, 0.9326539998543374, 0.5943695594201962, 0.9460966417456442, 0.06732666168637536, 0.8564202214112796, 0.5881881897309644, 0.86428247545049, 0.2179240090785185, 0.8332253200111666, 0.28378688113911543, 0.10817162967672145, 0.5982070798503636, 0.3791846396188875, 0.9754810903079821, 0.1785134302947331, 0.7731721835922902, 0.8546818245376935, 0.6997974264499546, 0.20916052280987607, 0.6384922746772763, 0.037116251418061186, 0.5298241386633433, 0.07045109214203671, 0.3630300655783446]",30755.379357904014,"[(0, 12), (1, 9), (1, 11), (2, 3), (2, 8), (4, 7), (5, 10), (5, 8), (6, 9), (7, 10), (7, 14), (8, 12), (9, 14), (10, 13)]",18.61333966255188
6,"[0.43719045165053494, 0.9185720167246002, 0.2709482928522351, 0.5243118370438687, 0.24651815441990022, 0.33817454549853554, 0.2634621703234763, 0.66623864350263, 0.38592628133471507, 0.45796702118038424, 0.34935178173595394, 0.045554262359955744, 0.7326862921169874, 0.5417480230593663, 0.3654353272847426, 0.3514346433656286, 0.5729248292822982, 0.26445803317727, 0.9708338524781631, 0.5623386434994511, 0.06053400739795789, 0.8863183000413859, 0.0735483746846527, 0.450784559179946, 0.24271637408149294, 0.46074975185892764, 0.5437160897483717, 0.34433528060278573, 0.2405005152233931, 0.07439614783965087, 0.6356104274183166, 0.5572532600780705, 0.7914045139397217, 0.29101087343237875, 0.5667768824345453, 0.465562624353124, 0.5691609582421876, 0.33073638090784674, 0.09063360538666299, 0.9583318464226218, 0.7928455872123364, 0.05374363199991916, 0.8304246657051545, 0.021979356340032452, 0.887000014225339, 0.8557725899294203, 0.32789751358456964, 0.9793170852764556, 0.48185082291112336, 0.23394855044238683, 0.48432154313799647, 0.8291287543032735, 0.3239002112475333, 0.3265454978147221, 0.8377840903218973, 0.02837995759246681, 0.7847426013144365, 0.9085293341085968, 0.09750167954930467, 0.29378116167319857, 0.6316980783961985, 0.1576093604332135, 0.3985131686472283, 0.2711675031502083, 0.47592154145226806, 0.3458340889582221, 0.3811059758193559, 0.7032644396543283, 0.8109927999118003, 0.7683003799183273, 0.019109177312755854, 0.29999129568927163, 0.5905002865844252, 0.2844051755463335, 0.007509642058805999, 0.09548933433228524, 0.3722783848884208, 0.2937101126964109, 0.8079907857091166, 0.5354740733316106, 0.22778494081809464, 0.8931193100897771, 0.38628230375103956, 0.9926887998876907, 0.520749998759093, 0.9278018397473563, 0.03514754313100632, 0.24548925268651978, 0.047133557043763874, 0.626792545631714, 0.8862740592403104, 0.9698545580832255, 0.11916232532070836, 0.41840824331085724, 0.9793525458573725, 0.02826283138371144, 0.5220238188662306, 0.6493215617517791, 0.4253792777712643, 0.3960645881728361, 0.6810025018981732, 0.09697020314314664, 0.7922566008558443, 0.9116192456537386, 0.13989257579423853]",30286.82556981254,"[(0, 2), (1, 6), (1, 9), (2, 8), (3, 12), (3, 4), (3, 10), (5, 13), (7, 14), (8, 10), (9, 14), (9, 11), (12, 14), (12, 13)]",18.682343006134033
7,"[0.7505365853510905, 0.17225759858778766, 0.23404582028492749, 0.48950262084151475, 0.8871268859882714, 0.5543356631747356, 0.231752491094952, 0.4885090059504609, 0.6751316196451895, 0.6980893043079609, 0.07274735141757871, 0.20677607348612226, 0.5951167184051499, 0.43719931774561904, 0.11090083083346836, 0.6759438896734684, 0.1850697297644215, 0.0752103452906735, 0.9745314527775253, 0.30858952457396494, 0.7472529037789583, 0.05420272012947014, 0.17245308524673209, 0.11668886538448864, 0.9989353342706441, 0.766853932571231, 0.9054197093188963, 0.8477761906358607, 0.0863500138175004, 0.9626992907366335, 0.3611284941936659, 0.09369414540399579, 0.8341795951022303, 0.168845083499226, 0.4301284507122799, 0.21759898809321288, 0.8510878053491482, 0.5475447628256256, 0.8472748872060035, 0.07821636856145397, 0.34611228855733844, 0.6459465532440966, 0.9536812465038742, 0.022677367649988067, 0.2872675788519503, 0.20773061363699874, 0.5384471509552092, 0.5220300947057429, 0.10248292476359844, 0.6716047331611567, 0.13668300558598423, 0.719054175763242, 0.126032286312859, 0.667427337129774, 0.0565428029838535, 0.8448978596783717, 0.7833537763922458, 0.6190748838486462, 0.715047932525344, 0.7239291470118938, 0.459600164510537, 0.8521036134687462, 0.9790406624204987, 0.06312528582362742, 0.8162197750094474, 0.5623968388210978, 0.5306303139722901, 0.6601432237466464, 0.27286032422128115, 0.2574327535620501, 0.1269134977645151, 0.1378194391258919, 0.5396838879013153, 0.9062850517323957, 0.21019477035019307, 0.17261376988308386, 0.6729027504020049, 0.3616094262559155, 0.16390586426484544, 0.2571007284474728, 0.39656726428871103, 0.24229400161838088, 0.007870948379148923, 0.25891908513700834, 0.2496299883319021, 0.8549153453061376, 0.4533920479533887, 0.1886287353625159, 0.0503494411274622, 0.2177479592152397, 0.40511855345128656, 0.5624508967922073, 0.600449171026451, 0.12792488633468835, 0.9817261272295824, 0.6428094047099989, 0.5917099312841514, 0.7421629960999319, 0.45828370835038856, 0.41042426527863385, 0.8016187193489934, 0.4969453809152101, 0.9903600778140199, 0.5755228747678317, 0.33044756835458644]",30281.06179093496,"[(0, 5), (1, 12), (1, 6), (1, 14), (2, 5), (2, 12), (2, 3), (3, 7), (4, 10), (5, 8), (6, 11), (8, 10), (9, 14), (12, 13)]",20.44460105895996
8,"[0.18555199752402562, 0.20643552531026066, 0.5368038848755594, 0.39831375270544256, 0.9896427326080988, 0.10059986597884207, 0.1528323647547345, 0.07767890103331732, 0.32358965496266745, 0.6166681301836523, 0.8451261534851349, 0.8457477431368889, 0.1921793825338617, 0.06880498268082047, 0.12810464973090085, 0.0620481705008783, 0.3231120788828188, 0.012754548569152258, 0.9624230536571703, 0.008584776231936653, 0.10000570424549349, 0.9745654143914364, 0.3704356750583665, 0.4096693530248302, 0.1697219222385411, 0.7689951628877522, 0.8187666914436003, 0.17011502779534604, 0.9500795321206754, 0.881722858743092, 0.7661616878262143, 0.2557378790346886, 0.7238719207024314, 0.1353509067441222, 0.29577107923862545, 0.4892736589732939, 0.48503494864087104, 0.810372967312035, 0.3519698736190433, 0.08604666365358038, 0.5349273278152884, 0.7257865636439996, 0.5882791011003717, 0.11671676129090969, 0.14070661722291244, 0.9513492291849103, 0.0035557875169001107, 0.6456038980803781, 0.1401382813721963, 0.9678207665349091, 0.6471884451665374, 0.22451667660720265, 0.7747815564454056, 0.10366382401682417, 0.4022689724620422, 0.7550082336928887, 0.2984437808130276, 0.8027013836227824, 0.49104781592625824, 0.024169572458096922, 0.5660870507827885, 0.514866941172721, 0.12235309389175564, 0.4275752222288264, 0.3607898522695445, 0.15773134858164695, 0.8502866071140663, 0.21820307216424384, 0.4205589242430099, 0.6712639363982401, 0.6141571859627597, 0.2649726953704148, 0.18582262499007196, 0.855169694974948, 0.38175442332368326, 0.3189768862648439, 0.74008191959744, 0.837206483063879, 0.6834477952891689, 0.33244319431075164, 0.8764684016051447, 0.4763791154086826, 0.8512282179726031, 0.06509993840087291, 0.18836446467277734, 0.8659949550247786, 0.13225847203747298, 0.7887824080154678, 0.8608947697377507, 0.6129752518870053, 0.4920946587703705, 0.029380633585734284, 0.28500900213188185, 0.23817419334555956, 0.9624230536571703, 0.5374033383435763, 0.006884838033898721, 0.34679350479841453, 0.10601527537762223, 0.5333896794167584, 0.7861530967941023, 0.7645616796503208, 0.9529229431863366, 0.6028935359407274, 0.14031167762619445]",27251.529559960767,"[(0, 5), (1, 9), (1, 6), (2, 4), (2, 5), (3, 14), (3, 10), (5, 12), (6, 11), (7, 11), (8, 10), (8, 13), (9, 14), (12, 13)]",17.218158960342407
9,"[0.26517369864590656, 0.7755903716376413, 0.41769281397206703, 0.3600607614358967, 0.9056530932776514, 0.707920808394668, 0.7927336641905125, 0.29595614251199565, 0.6635920360204878, 0.05132197026801555, 0.21987569260677198, 0.04390466451637476, 0.5875399653350022, 0.0640508148520762, 0.12669829350018624, 0.33477055098343533, 0.5779713868930008, 0.47857191463075, 0.9615496773531292, 0.2406679894197592, 0.7946097339341811, 0.5895999993576201, 0.045148072338228595, 0.9606653516170311, 0.48239888915152573, 0.02389421236943845, 0.4242749831156952, 0.7769658653527107, 0.6302411079851082, 0.5923025739029286, 0.5586023402188175, 0.9868660018196016, 0.3569510267067014, 0.7899075246065397, 0.8689840068919031, 0.5087789501549413, 0.36845222575466285, 0.835329217858823, 0.35819375523305097, 0.35950809698444675, 0.7990221389387152, 0.1691822599728362, 0.20935826554235648, 0.4440207440456212, 0.6255909407091564, 0.8526102462720748, 0.7343813720947744, 0.6516336442834366, 0.5232782277436324, 0.9669000128880064, 0.31805334450332334, 0.34424468425928145, 0.23353838597218424, 0.05550025536674674, 0.8330974686856019, 0.8266064309397058, 0.39712410165494305, 0.6676299211219539, 0.5084853393424431, 0.9887494868466955, 0.3668771453442632, 0.1830967504202835, 0.1679860970304179, 0.21432067726611248, 0.07974931447137812, 0.4482102597192853, 0.21843959386617218, 0.19361693682718528, 0.037367483591910555, 0.2449883937520403, 0.09114347561898073, 0.9987561358522179, 0.5457603985767602, 0.4356911621419648, 0.3190386482859845, 0.8046794971081467, 0.4942682755640945, 0.31085959492795345, 0.18616227283108222, 0.8576571620874512, 0.35311766997680105, 0.4457852048447891, 0.10185116181341747, 0.9918770502205112, 0.15143190032711507, 0.44032013909452883, 0.09969906156905695, 0.9127762834657401, 0.9854397655789342, 0.7712091412410237, 0.39230635193733987, 0.6673365573227021, 0.8955528660253242, 0.5351506341425731, 0.33325696932897286, 0.4416679556943788, 0.31689079071780335, 0.7347278551965933, 0.6056350775583532, 0.5483122567470267, 0.8488246371760795, 0.46603897441327846, 0.2827851584119653, 0.8176756965379288, 0.05835766421107358]",25954.549404089943,"[(0, 5), (1, 6), (1, 11), (2, 7), (2, 10), (2, 13), (3, 14), (3, 5), (4, 14), (6, 9), (7, 14), (8, 13), (8, 12), (9, 12)]",17.089077949523926
10,"[0.2930256951564588, 0.9524315835393966, 0.8271561533205442, 0.08651387987340797, 0.9644725568244705, 0.22994489552285402, 0.9296739035452667, 0.17149928464558328, 0.35766608662709, 0.2975238955050006, 0.32016896414807905, 0.007023285537379853, 0.7577736974321252, 0.8617065855388403, 0.39570483605544915, 0.6947827742796205, 0.0934931314576164, 0.5645994515841581, 0.462795286565058, 0.8447920138770545, 0.3252292484931282, 0.5350754311322535, 0.3501797888264562, 0.8849224300763087, 0.8575685227274381, 0.8658165041555955, 0.34968292844300597, 0.29376277362832515, 0.5331842556931816, 0.3327056694842485, 0.7329217653171036, 0.18946147394107982, 0.41107301936970475, 0.8033182448188688, 0.43112732488260674, 0.7120627460971933, 0.2317452750694199, 0.03153710578999458, 0.9337507847025759, 0.16351974856587903, 0.8268301466342809, 0.7844262982891365, 0.9011798927716534, 0.7180481583819625, 0.3671642336517772, 0.16801935481916241, 0.6992993271624272, 0.5730002480939193, 0.6241705795531968, 0.21907885006695604, 0.7139069917518257, 0.3048778569521754, 0.9768111906873215, 0.539111407454829, 0.1402351578024713, 0.6531381995956114, 0.6323216888974051, 0.6665729135880556, 0.9717120761472504, 0.3964777956012845, 0.22710184582784054, 0.07337704892916197, 0.9593786403965983, 0.012753623901649025, 0.09084566228480773, 0.592025224668174, 0.8685287428860576, 0.37994771637062963, 0.5734901072393462, 0.03921865616559306, 0.7655726860419645, 0.026084881308178987, 0.1347399707884982, 0.9642064457750986, 0.08402722530977891, 0.5977269925793518, 0.012413634631294301, 0.43872845851916886, 0.8685532933210574, 0.7774921111400945, 0.4402987391101927, 0.5084325239375842, 0.07086226926505068, 0.03491724820326214, 0.8475015157212541, 0.7694764449956074, 0.31040079191243153, 0.6514019758648292, 0.9866293978170064, 0.9199158164799244, 0.5154813058388623, 0.9920114253737112, 0.3744192218752237, 0.7570697431748763, 0.5955215585820175, 0.2512586769642252, 0.9750153933631373, 0.6675322344651481, 0.6421302936054546, 0.4283240302645642, 0.6101169594840803, 0.5231076941647709, 0.9632060500334633, 0.12130946065047932, 0.8564422550691152]",29536.886924773247,"[(0, 5), (0, 2), (1, 11), (2, 14), (3, 7), (4, 7), (4, 13), (5, 8), (6, 11), (7, 9), (8, 13), (9, 11), (10, 12), (12, 13)]",16.626516819000244
