STT,Best Cost,Best Tree,Time
1,245394.79163677603,"[(0, 87), (0, 30), (0, 35), (1, 34), (1, 72), (1, 80), (2, 82), (3, 40), (3, 75), (3, 88), (4, 28), (5, 33), (5, 62), (6, 15), (6, 21), (7, 82), (8, 53), (9, 44), (9, 57), (9, 15), (10, 78), (10, 59), (11, 27), (11, 82), (11, 14), (12, 45), (12, 26), (13, 16), (14, 47), (15, 30), (16, 57), (16, 42), (17, 80), (17, 48), (18, 30), (18, 72), (18, 85), (19, 50), (20, 22), (20, 25), (21, 38), (22, 83), (22, 58), (23, 83), (24, 71), (24, 84), (25, 33), (25, 51), (27, 61), (28, 84), (29, 75), (31, 40), (31, 66), (31, 79), (32, 87), (33, 55), (36, 42), (36, 41), (37, 87), (39, 70), (40, 77), (41, 64), (43, 89), (44, 81), (44, 65), (45, 54), (46, 59), (46, 53), (47, 71), (49, 85), (50, 78), (52, 57), (52, 53), (54, 79), (56, 88), (56, 59), (56, 67), (58, 76), (58, 60), (63, 80), (65, 86), (68, 75), (69, 89), (70, 71), (73, 76), (74, 83), (74, 77), (76, 89), (79, 84)]",716.1770248413086
2,242234.7827270279,"[(0, 21), (0, 82), (1, 71), (1, 52), (1, 11), (2, 63), (3, 6), (3, 40), (4, 11), (5, 83), (5, 81), (5, 73), (6, 62), (7, 13), (7, 84), (7, 26), (8, 33), (9, 12), (9, 19), (9, 31), (10, 79), (10, 64), (11, 83), (12, 50), (12, 72), (13, 22), (14, 76), (14, 32), (15, 83), (16, 44), (16, 38), (17, 72), (17, 37), (18, 25), (18, 45), (19, 67), (19, 23), (20, 84), (20, 79), (20, 46), (21, 66), (23, 30), (24, 60), (27, 36), (27, 63), (27, 48), (28, 42), (28, 71), (29, 78), (31, 35), (31, 47), (33, 77), (33, 84), (34, 38), (35, 75), (35, 54), (36, 86), (38, 76), (39, 51), (39, 69), (41, 65), (41, 45), (42, 47), (43, 45), (43, 68), (43, 49), (44, 78), (44, 69), (48, 62), (48, 53), (49, 74), (49, 59), (51, 60), (52, 85), (52, 74), (53, 60), (53, 79), (55, 69), (56, 75), (57, 88), (58, 77), (61, 88), (62, 71), (65, 70), (66, 86), (72, 88), (74, 80), (77, 87), (78, 89)]",833.3806047439575
3,237156.58861739465,"[(0, 54), (0, 78), (1, 74), (1, 78), (2, 55), (3, 18), (4, 49), (4, 11), (5, 20), (5, 15), (5, 30), (6, 39), (6, 22), (6, 65), (7, 73), (7, 37), (7, 36), (8, 60), (9, 80), (9, 17), (10, 18), (10, 55), (10, 82), (11, 14), (12, 31), (12, 80), (13, 55), (15, 64), (16, 47), (16, 88), (16, 70), (18, 56), (19, 45), (20, 76), (21, 48), (23, 62), (24, 35), (24, 84), (25, 56), (26, 57), (26, 82), (26, 32), (27, 54), (28, 72), (28, 77), (28, 87), (29, 86), (30, 80), (30, 43), (31, 77), (31, 44), (32, 86), (33, 40), (33, 59), (34, 86), (34, 47), (35, 38), (35, 68), (37, 71), (39, 40), (39, 81), (40, 60), (41, 85), (41, 60), (42, 48), (42, 67), (43, 63), (44, 48), (45, 53), (46, 59), (47, 66), (49, 73), (49, 89), (50, 52), (51, 53), (51, 68), (52, 67), (53, 63), (56, 75), (58, 81), (59, 61), (62, 77), (62, 74), (69, 78), (69, 85), (74, 82), (79, 81), (83, 84), (85, 89)]",940.6578645706176
4,256974.49635931329,"[(0, 17), (0, 14), (0, 57), (1, 57), (2, 72), (3, 76), (3, 86), (4, 44), (5, 29), (5, 77), (6, 65), (6, 76), (6, 51), (7, 15), (8, 16), (9, 38), (10, 75), (10, 11), (10, 19), (11, 46), (11, 25), (12, 55), (13, 16), (14, 25), (15, 56), (16, 37), (17, 34), (18, 28), (19, 52), (19, 42), (20, 57), (20, 21), (21, 33), (21, 31), (22, 84), (22, 72), (22, 67), (23, 60), (23, 83), (23, 37), (24, 78), (25, 37), (26, 43), (27, 58), (27, 53), (28, 38), (28, 61), (29, 59), (29, 64), (30, 54), (31, 70), (32, 59), (32, 55), (32, 58), (33, 36), (33, 69), (35, 47), (36, 38), (36, 51), (39, 87), (40, 73), (41, 75), (43, 63), (43, 87), (44, 74), (44, 61), (45, 50), (47, 89), (47, 79), (48, 80), (49, 62), (50, 63), (52, 67), (53, 80), (53, 88), (54, 66), (56, 89), (56, 85), (58, 68), (59, 62), (63, 75), (65, 73), (66, 84), (69, 85), (69, 78), (71, 79), (74, 82), (74, 81), (85, 88)]",810.1357192993164
5,246495.1884037274,"[(0, 7), (1, 21), (1, 20), (2, 29), (2, 40), (2, 11), (3, 29), (3, 88), (4, 44), (5, 33), (6, 32), (7, 69), (8, 62), (9, 37), (9, 34), (10, 59), (10, 26), (10, 48), (11, 18), (11, 83), (12, 76), (12, 17), (12, 61), (13, 43), (13, 77), (14, 35), (14, 65), (15, 67), (15, 17), (16, 37), (16, 62), (16, 82), (17, 35), (19, 38), (20, 38), (20, 53), (22, 74), (22, 72), (23, 71), (23, 84), (24, 46), (24, 58), (25, 57), (25, 58), (25, 30), (26, 63), (26, 27), (27, 57), (28, 79), (28, 86), (31, 69), (31, 74), (32, 65), (33, 44), (33, 38), (34, 68), (34, 85), (35, 64), (36, 63), (37, 89), (39, 71), (39, 46), (41, 80), (41, 77), (42, 89), (42, 70), (42, 55), (43, 82), (43, 74), (44, 52), (45, 52), (45, 87), (47, 54), (48, 78), (49, 64), (50, 67), (50, 53), (51, 79), (51, 70), (52, 63), (53, 82), (54, 57), (56, 79), (58, 81), (60, 66), (66, 71), (73, 76), (75, 85), (76, 83)]",672.678361415863
6,248367.9715821653,"[(0, 13), (0, 29), (0, 15), (1, 35), (2, 24), (2, 4), (3, 33), (3, 57), (4, 20), (4, 80), (5, 37), (6, 27), (7, 37), (7, 43), (7, 28), (8, 11), (8, 60), (9, 42), (10, 21), (10, 68), (10, 86), (11, 89), (11, 30), (12, 73), (12, 16), (14, 53), (15, 42), (15, 72), (16, 72), (17, 54), (18, 69), (18, 22), (18, 56), (19, 85), (20, 74), (20, 54), (21, 61), (21, 47), (22, 77), (22, 78), (23, 74), (24, 58), (24, 44), (25, 46), (26, 58), (27, 53), (29, 43), (29, 60), (31, 79), (32, 66), (32, 84), (32, 43), (33, 73), (34, 48), (34, 67), (34, 78), (35, 65), (36, 72), (37, 49), (38, 79), (38, 45), (39, 81), (39, 79), (40, 62), (41, 69), (41, 73), (41, 53), (42, 75), (44, 59), (46, 59), (47, 87), (48, 55), (49, 74), (50, 80), (51, 83), (52, 55), (56, 88), (58, 86), (62, 88), (63, 86), (64, 70), (65, 78), (70, 82), (71, 76), (75, 76), (77, 85), (80, 82), (81, 89), (83, 89)]",805.654611825943
7,267085.6536307546,"[(0, 43), (0, 10), (1, 8), (1, 19), (1, 67), (2, 41), (3, 80), (4, 43), (4, 53), (4, 60), (5, 83), (5, 77), (6, 47), (6, 73), (6, 35), (7, 13), (7, 18), (7, 30), (8, 34), (8, 23), (9, 37), (9, 82), (10, 81), (11, 22), (11, 89), (11, 62), (12, 16), (12, 70), (13, 26), (14, 31), (14, 45), (14, 39), (15, 33), (17, 34), (18, 52), (18, 63), (20, 60), (20, 32), (21, 51), (21, 47), (22, 29), (24, 86), (25, 57), (26, 27), (27, 78), (27, 66), (28, 58), (28, 48), (29, 49), (30, 46), (31, 87), (31, 55), (32, 68), (32, 47), (33, 54), (33, 44), (34, 68), (36, 83), (36, 79), (36, 71), (37, 88), (37, 76), (38, 57), (38, 49), (40, 60), (40, 69), (40, 58), (41, 61), (41, 88), (42, 63), (43, 80), (44, 86), (45, 64), (45, 85), (50, 56), (50, 84), (50, 75), (52, 54), (52, 85), (59, 75), (59, 69), (62, 77), (63, 84), (65, 76), (70, 86), (72, 88), (74, 84), (75, 76), (80, 83)]",794.488664150238
8,251804.2665717204,"[(0, 74), (1, 65), (2, 72), (2, 34), (3, 75), (3, 65), (3, 46), (4, 76), (4, 74), (4, 86), (5, 33), (5, 89), (5, 84), (6, 66), (6, 21), (6, 56), (7, 10), (8, 22), (8, 28), (9, 16), (10, 28), (10, 50), (11, 37), (11, 42), (12, 36), (13, 38), (13, 19), (14, 44), (14, 62), (15, 63), (15, 88), (16, 49), (16, 48), (17, 61), (18, 29), (18, 52), (20, 79), (20, 26), (21, 58), (21, 31), (22, 57), (22, 54), (23, 72), (23, 78), (23, 46), (24, 68), (24, 28), (25, 52), (27, 45), (27, 30), (29, 78), (30, 57), (31, 55), (32, 60), (32, 81), (33, 39), (34, 43), (35, 51), (36, 51), (36, 56), (37, 65), (37, 80), (38, 48), (39, 46), (39, 63), (40, 56), (41, 47), (43, 77), (44, 61), (45, 49), (47, 54), (48, 87), (49, 67), (50, 71), (50, 85), (53, 66), (54, 62), (58, 73), (58, 60), (59, 84), (60, 83), (63, 67), (64, 67), (66, 72), (69, 77), (70, 83), (73, 82), (76, 83), (78, 79)]",707.6310408115387
9,236126.81498783067,"[(0, 48), (0, 18), (0, 21), (1, 38), (2, 19), (2, 7), (2, 67), (3, 70), (3, 77), (4, 86), (4, 46), (4, 61), (5, 49), (6, 29), (7, 9), (7, 20), (8, 65), (8, 89), (9, 75), (10, 83), (10, 13), (10, 79), (11, 76), (11, 39), (12, 87), (13, 87), (13, 54), (14, 53), (14, 46), (14, 78), (15, 61), (15, 39), (15, 56), (16, 34), (16, 35), (17, 28), (20, 62), (22, 27), (23, 79), (24, 33), (25, 50), (26, 73), (26, 33), (26, 81), (27, 69), (27, 83), (28, 77), (28, 51), (29, 38), (30, 74), (31, 46), (31, 43), (32, 59), (32, 44), (32, 52), (33, 35), (35, 66), (36, 72), (36, 57), (37, 65), (37, 41), (37, 59), (38, 73), (40, 61), (41, 88), (41, 57), (42, 55), (42, 58), (43, 66), (45, 63), (45, 50), (45, 75), (47, 80), (47, 86), (48, 89), (49, 69), (50, 64), (52, 68), (55, 67), (60, 62), (65, 82), (70, 86), (71, 83), (71, 81), (72, 85), (73, 82), (74, 79), (74, 75), (84, 89)]",672.9161891937256
10,238487.7227570634,"[(0, 77), (0, 10), (0, 14), (1, 85), (1, 56), (1, 2), (2, 49), (2, 34), (3, 41), (3, 15), (4, 17), (4, 50), (4, 89), (5, 39), (6, 62), (7, 61), (7, 44), (8, 22), (8, 29), (9, 35), (10, 16), (10, 80), (11, 58), (12, 39), (12, 58), (13, 55), (13, 46), (15, 82), (15, 25), (16, 51), (17, 43), (17, 35), (18, 86), (18, 64), (19, 48), (19, 50), (20, 37), (21, 76), (21, 86), (21, 70), (22, 87), (22, 37), (23, 36), (24, 60), (24, 55), (24, 67), (26, 80), (27, 42), (28, 39), (29, 35), (29, 83), (30, 42), (31, 68), (32, 60), (32, 65), (32, 40), (33, 57), (34, 88), (36, 84), (38, 54), (38, 44), (38, 69), (42, 64), (43, 74), (43, 78), (44, 55), (45, 85), (46, 76), (47, 78), (52, 63), (53, 73), (57, 66), (57, 84), (58, 69), (59, 71), (60, 73), (61, 82), (62, 89), (63, 86), (63, 85), (65, 80), (65, 81), (68, 71), (69, 72), (70, 71), (75, 82), (76, 89), (77, 79), (83, 84)]",4271.651670694351
