STT,Best Cost,Best Tree,Time,Is Tree?
1,331832.13742469857,"[(0, 82), (0, 20), (1, 38), (1, 24), (2, 86), (2, 47), (2, 30), (3, 89), (3, 54), (4, 88), (4, 51), (5, 23), (6, 38), (7, 73), (7, 71), (7, 75), (8, 61), (8, 70), (8, 49), (9, 29), (10, 80), (11, 37), (11, 42), (12, 28), (12, 48), (13, 50), (13, 72), (14, 70), (15, 44), (15, 66), (16, 42), (17, 51), (17, 40), (17, 38), (18, 40), (19, 62), (20, 65), (20, 74), (21, 30), (22, 33), (23, 77), (24, 83), (24, 43), (25, 68), (25, 47), (25, 32), (26, 57), (26, 69), (27, 63), (28, 81), (29, 67), (31, 82), (32, 67), (33, 59), (34, 57), (34, 86), (35, 63), (36, 81), (36, 54), (36, 79), (37, 70), (39, 89), (41, 57), (42, 46), (43, 87), (43, 59), (45, 77), (48, 77), (49, 64), (49, 53), (50, 52), (51, 78), (52, 54), (53, 62), (55, 65), (56, 84), (58, 59), (60, 61), (60, 84), (61, 81), (63, 74), (64, 68), (64, 85), (66, 87), (68, 80), (69, 73), (74, 78), (76, 88), (82, 89)]",818.2638640403748,True
2,266961.9931570766,"[(0, 70), (0, 26), (1, 63), (2, 27), (3, 14), (4, 44), (4, 85), (5, 72), (5, 55), (5, 31), (6, 71), (7, 59), (7, 81), (7, 70), (8, 67), (8, 80), (8, 69), (9, 24), (9, 54), (10, 77), (11, 70), (12, 50), (12, 68), (13, 81), (13, 19), (13, 67), (14, 40), (14, 89), (15, 31), (16, 81), (17, 69), (18, 63), (18, 51), (20, 61), (20, 37), (20, 28), (21, 54), (21, 52), (22, 86), (22, 46), (23, 64), (24, 64), (24, 76), (25, 45), (25, 50), (27, 35), (28, 75), (28, 35), (29, 44), (29, 67), (29, 52), (30, 83), (30, 38), (32, 71), (32, 59), (33, 88), (34, 73), (34, 80), (35, 85), (36, 51), (38, 41), (38, 63), (39, 54), (40, 58), (42, 48), (43, 76), (44, 60), (45, 80), (45, 57), (46, 48), (47, 68), (48, 78), (49, 86), (49, 82), (50, 65), (51, 84), (53, 76), (53, 74), (53, 66), (55, 79), (55, 87), (56, 83), (57, 89), (60, 62), (65, 83), (74, 86), (74, 79), (77, 85), (78, 88)]",748.3486707210541,True
3,266338.62648528983,"[(0, 77), (1, 29), (1, 55), (2, 44), (2, 3), (2, 87), (3, 74), (3, 57), (4, 67), (5, 77), (5, 75), (5, 34), (6, 77), (7, 33), (8, 47), (8, 41), (8, 85), (9, 58), (10, 72), (11, 70), (12, 75), (12, 35), (12, 13), (14, 52), (14, 70), (14, 17), (15, 26), (16, 47), (17, 88), (18, 66), (18, 41), (18, 30), (19, 23), (20, 50), (21, 47), (21, 67), (21, 86), (22, 73), (23, 33), (23, 78), (24, 80), (24, 65), (25, 29), (26, 76), (26, 32), (27, 45), (28, 53), (28, 50), (28, 72), (29, 35), (30, 49), (31, 59), (32, 84), (32, 86), (33, 72), (34, 80), (35, 64), (36, 43), (37, 56), (37, 70), (38, 51), (39, 44), (40, 85), (40, 81), (42, 51), (43, 58), (43, 71), (45, 64), (46, 71), (48, 83), (51, 84), (53, 83), (54, 69), (54, 87), (54, 88), (55, 60), (55, 89), (58, 78), (59, 75), (60, 67), (61, 78), (62, 71), (63, 89), (63, 79), (63, 68), (65, 88), (73, 79), (80, 83), (82, 85)]",784.7862060070038,True
4,299713.7394989502,"[(0, 34), (1, 52), (1, 20), (2, 38), (3, 24), (3, 17), (3, 25), (4, 50), (4, 47), (5, 63), (5, 11), (6, 60), (6, 10), (7, 76), (7, 12), (8, 83), (8, 50), (8, 41), (9, 17), (10, 82), (10, 75), (11, 26), (12, 35), (12, 41), (13, 53), (13, 55), (14, 56), (14, 76), (15, 77), (15, 74), (15, 88), (16, 72), (17, 64), (18, 74), (19, 27), (19, 66), (19, 51), (20, 87), (20, 84), (21, 70), (21, 37), (21, 32), (22, 70), (22, 48), (22, 57), (23, 78), (23, 84), (23, 31), (24, 86), (24, 84), (28, 88), (29, 86), (30, 80), (30, 35), (30, 45), (31, 42), (31, 76), (32, 38), (33, 46), (34, 62), (34, 78), (35, 85), (36, 37), (36, 66), (36, 55), (39, 54), (40, 71), (41, 68), (43, 77), (44, 77), (44, 49), (46, 73), (47, 66), (47, 67), (54, 80), (57, 69), (58, 69), (59, 68), (61, 87), (63, 65), (63, 87), (65, 73), (65, 82), (68, 72), (71, 80), (73, 79), (74, 83), (81, 82), (88, 89)]",827.6416296958923,True
5,298825.2232894744,"[(0, 69), (0, 1), (0, 86), (1, 24), (1, 47), (2, 89), (3, 12), (3, 64), (4, 9), (5, 73), (5, 23), (6, 76), (7, 43), (7, 58), (7, 57), (8, 88), (9, 41), (9, 65), (10, 65), (10, 72), (11, 79), (11, 78), (11, 15), (12, 79), (12, 66), (13, 51), (13, 80), (14, 66), (14, 82), (15, 87), (16, 33), (16, 77), (17, 18), (17, 34), (18, 89), (18, 76), (19, 60), (19, 46), (19, 64), (20, 37), (20, 46), (20, 56), (21, 83), (21, 47), (21, 46), (22, 86), (23, 33), (25, 58), (26, 85), (26, 39), (26, 51), (27, 57), (28, 89), (29, 47), (30, 59), (31, 50), (32, 43), (32, 42), (33, 62), (34, 52), (35, 86), (36, 62), (36, 64), (36, 67), (37, 42), (38, 69), (38, 65), (38, 54), (40, 75), (42, 45), (44, 48), (48, 61), (48, 67), (49, 85), (50, 55), (50, 88), (53, 75), (55, 70), (55, 75), (57, 74), (59, 78), (59, 81), (61, 84), (63, 68), (68, 81), (69, 76), (71, 83), (79, 88), (80, 81)]",849.931777715683,True
6,328286.1217392996,"[(0, 31), (0, 58), (0, 21), (1, 33), (1, 72), (1, 28), (2, 51), (3, 50), (3, 41), (3, 34), (4, 70), (5, 59), (5, 76), (5, 23), (6, 84), (6, 10), (7, 65), (7, 12), (7, 56), (8, 64), (8, 23), (9, 48), (9, 41), (9, 62), (10, 37), (10, 61), (11, 76), (12, 18), (12, 49), (13, 89), (13, 22), (13, 44), (14, 59), (14, 78), (14, 17), (15, 69), (15, 17), (15, 31), (16, 31), (17, 38), (18, 25), (19, 20), (20, 33), (20, 32), (21, 28), (23, 70), (24, 70), (24, 53), (24, 87), (25, 84), (26, 74), (27, 43), (27, 36), (28, 75), (29, 40), (30, 45), (30, 73), (30, 47), (35, 47), (35, 85), (38, 68), (39, 65), (39, 40), (40, 83), (41, 59), (42, 53), (42, 46), (43, 55), (43, 77), (44, 49), (44, 45), (45, 52), (47, 82), (49, 80), (51, 74), (51, 57), (54, 66), (55, 67), (55, 78), (60, 84), (63, 86), (65, 76), (66, 67), (67, 81), (71, 72), (72, 88), (74, 80), (78, 79), (86, 89)]",850.8475835323334,True
7,271104.69084850594,"[(0, 25), (0, 66), (0, 75), (1, 52), (1, 45), (2, 85), (2, 4), (2, 24), (3, 89), (5, 31), (6, 25), (7, 59), (7, 65), (7, 19), (8, 45), (8, 47), (9, 15), (10, 74), (10, 77), (10, 31), (11, 13), (11, 71), (12, 46), (12, 18), (12, 80), (13, 24), (13, 75), (14, 34), (15, 86), (16, 74), (17, 28), (17, 61), (18, 54), (18, 63), (19, 53), (19, 66), (20, 81), (20, 79), (20, 37), (21, 67), (21, 87), (22, 28), (22, 32), (22, 60), (23, 81), (24, 50), (25, 30), (26, 83), (27, 89), (28, 38), (29, 51), (29, 83), (30, 36), (30, 49), (32, 84), (33, 62), (34, 87), (34, 86), (35, 44), (35, 57), (35, 74), (36, 83), (39, 78), (39, 82), (39, 58), (40, 52), (40, 68), (40, 70), (41, 49), (41, 76), (42, 70), (42, 64), (43, 87), (43, 75), (48, 66), (49, 57), (50, 89), (50, 64), (54, 68), (55, 77), (56, 70), (58, 81), (59, 69), (62, 84), (62, 72), (65, 72), (69, 73), (72, 79), (84, 88)]",783.0201730728149,True
8,288731.31527648226,"[(0, 87), (0, 48), (0, 36), (1, 74), (1, 4), (1, 61), (2, 4), (3, 23), (3, 72), (4, 17), (5, 31), (6, 69), (7, 29), (8, 68), (8, 29), (9, 41), (9, 47), (10, 11), (11, 61), (12, 18), (12, 33), (12, 43), (13, 19), (13, 76), (13, 32), (14, 31), (15, 70), (15, 89), (16, 65), (17, 38), (17, 86), (18, 64), (19, 78), (20, 59), (21, 64), (22, 60), (23, 68), (24, 66), (24, 44), (25, 66), (26, 32), (27, 40), (28, 74), (29, 85), (30, 87), (31, 38), (32, 37), (34, 83), (34, 86), (35, 52), (35, 82), (35, 49), (37, 46), (37, 53), (38, 40), (39, 68), (41, 58), (41, 80), (42, 73), (42, 60), (45, 63), (48, 57), (48, 61), (50, 77), (50, 53), (50, 82), (51, 89), (51, 77), (51, 88), (52, 67), (53, 71), (54, 83), (55, 72), (56, 82), (57, 65), (58, 59), (59, 70), (60, 86), (62, 63), (63, 85), (64, 69), (65, 79), (66, 88), (69, 89), (72, 75), (73, 85), (74, 88), (75, 84), (77, 81)]",824.5833051204681,True
9,300504.3429625813,"[(0, 48), (1, 28), (1, 41), (1, 86), (2, 45), (3, 34), (4, 8), (5, 10), (5, 16), (6, 51), (6, 67), (6, 23), (7, 30), (7, 66), (7, 43), (8, 59), (8, 60), (9, 14), (9, 75), (9, 85), (11, 24), (11, 23), (12, 29), (13, 87), (13, 40), (14, 72), (14, 80), (15, 56), (15, 61), (15, 31), (16, 37), (17, 54), (18, 48), (18, 88), (18, 82), (19, 84), (19, 50), (20, 76), (20, 71), (21, 38), (21, 26), (22, 53), (22, 88), (23, 28), (24, 49), (24, 64), (25, 73), (25, 29), (25, 74), (26, 69), (26, 79), (27, 88), (27, 47), (28, 44), (29, 81), (30, 40), (30, 36), (31, 34), (31, 33), (32, 54), (32, 53), (34, 40), (35, 71), (36, 82), (36, 63), (37, 78), (37, 43), (39, 71), (39, 58), (39, 49), (41, 46), (42, 84), (42, 69), (42, 77), (44, 57), (44, 65), (45, 83), (47, 81), (47, 89), (48, 62), (52, 57), (52, 81), (55, 72), (57, 80), (60, 79), (65, 83), (68, 78), (70, 78), (79, 80)]",756.4924447536469,True
10,263321.644694768,"[(0, 21), (0, 62), (0, 19), (1, 65), (1, 60), (1, 57), (2, 48), (3, 80), (3, 51), (3, 47), (4, 52), (5, 22), (5, 77), (5, 46), (6, 58), (7, 78), (8, 47), (8, 39), (9, 68), (10, 61), (11, 66), (12, 87), (12, 13), (12, 38), (13, 67), (13, 34), (14, 75), (14, 23), (14, 74), (15, 37), (16, 18), (17, 89), (17, 47), (18, 27), (18, 64), (20, 22), (20, 84), (20, 71), (21, 40), (21, 43), (22, 48), (23, 87), (23, 78), (24, 68), (25, 89), (25, 88), (26, 80), (27, 38), (28, 66), (28, 65), (28, 31), (29, 76), (29, 69), (29, 50), (30, 74), (30, 53), (32, 78), (32, 79), (33, 88), (33, 42), (33, 36), (35, 63), (35, 52), (37, 65), (37, 53), (38, 45), (40, 55), (41, 57), (44, 57), (44, 49), (48, 89), (50, 51), (50, 61), (51, 58), (52, 54), (53, 82), (54, 69), (56, 81), (56, 77), (59, 85), (59, 67), (59, 81), (62, 63), (67, 68), (69, 83), (70, 87), (71, 72), (72, 73), (86, 88)]",811.2056953907013,True
