STT,Best Cost,Best Solution,Best Tree,Time
1,"[39, 10, 35, 14, 13, 52, 12, 20, 52, 6, 2, 46, 42, 7, 48, 38, 30, 18, 11, 51, 3, 44, 1, 34, 35, 40, 8, 24, 34, 36, 19, 21, 15, 41, 1, 20, 29, 22, 25, 23, 14, 46, 45, 33, 59, 25, 3, 21, 7, 9, 0, 4, 26, 24, 39, 43, 5, 5]",160344.03558629483,"[(0, 9), (0, 4), (1, 44), (1, 41), (1, 20), (2, 6), (2, 46), (3, 50), (3, 25), (3, 21), (4, 26), (5, 43), (5, 58), (5, 59), (6, 37), (7, 42), (7, 21), (7, 9), (8, 40), (8, 24), (10, 17), (10, 35), (11, 18), (11, 51), (12, 31), (12, 20), (13, 28), (13, 52), (14, 27), (14, 23), (14, 46), (15, 55), (15, 41), (16, 39), (18, 30), (19, 36), (19, 21), (20, 29), (22, 29), (22, 25), (23, 56), (24, 26), (24, 39), (25, 57), (30, 38), (32, 52), (33, 45), (33, 59), (34, 52), (34, 54), (34, 36), (35, 53), (35, 40), (38, 48), (39, 43), (42, 47), (44, 51), (45, 46), (48, 49)]",1.7381629943847656
2,"[49, 0, 3, 20, 7, 11, 51, 19, 36, 15, 6, 8, 22, 16, 7, 25, 17, 10, 5, 51, 52, 14, 55, 55, 14, 1, 13, 5, 12, 40, 44, 23, 53, 20, 54, 57, 42, 31, 34, 25, 4, 43, 28, 48, 40, 21, 9, 2, 13, 9, 8, 33, 59, 32, 1, 44, 46, 21]",154730.7214393494,"[(0, 24), (0, 3), (1, 14), (1, 32), (1, 44), (2, 57), (2, 13), (3, 20), (4, 25), (4, 43), (5, 10), (5, 50), (5, 12), (6, 15), (6, 8), (7, 26), (7, 16), (7, 25), (8, 9), (8, 33), (9, 56), (9, 13), (10, 17), (11, 27), (11, 51), (12, 40), (13, 49), (14, 39), (14, 47), (15, 30), (16, 22), (17, 36), (18, 49), (19, 29), (19, 36), (20, 53), (20, 54), (21, 40), (21, 46), (21, 59), (22, 35), (23, 52), (23, 53), (25, 34), (28, 43), (28, 48), (31, 42), (31, 34), (32, 58), (33, 59), (37, 51), (38, 52), (40, 48), (41, 55), (42, 55), (44, 51), (44, 46), (45, 55), (54, 57)]",1.7620527744293213
3,"[19, 20, 8, 17, 24, 1, 27, 18, 14, 6, 54, 12, 14, 48, 9, 2, 7, 48, 44, 11, 8, 24, 4, 51, 33, 33, 12, 10, 5, 35, 37, 0, 16, 56, 44, 13, 49, 13, 52, 2, 6, 22, 28, 23, 25, 22, 28, 15, 4, 32, 0, 7, 32, 35, 3, 51, 26, 3]",173377.02782033634,"[(0, 37), (0, 57), (0, 7), (1, 30), (1, 27), (2, 9), (2, 52), (2, 6), (3, 35), (3, 26), (3, 59), (4, 24), (4, 15), (4, 32), (5, 10), (5, 35), (6, 31), (6, 22), (7, 40), (7, 32), (8, 20), (8, 11), (8, 24), (9, 39), (10, 12), (11, 43), (12, 36), (12, 33), (13, 44), (13, 49), (13, 52), (14, 18), (14, 38), (14, 48), (15, 28), (16, 50), (16, 56), (17, 29), (17, 24), (18, 27), (19, 21), (19, 20), (22, 25), (22, 28), (23, 56), (23, 25), (26, 51), (28, 55), (32, 35), (33, 46), (33, 47), (34, 54), (37, 48), (41, 48), (42, 44), (44, 53), (45, 51), (49, 54), (51, 58)]",1.798600196838379
4,"[16, 7, 3, 21, 19, 36, 17, 10, 22, 48, 1, 15, 13, 28, 48, 3, 51, 4, 52, 6, 28, 11, 14, 36, 12, 20, 57, 0, 27, 41, 18, 23, 49, 13, 59, 0, 31, 31, 53, 26, 26, 50, 8, 56, 14, 8, 2, 9, 5, 35, 44, 58, 20, 44, 30, 52, 55, 42]",156338.31428677804,"[(0, 45), (0, 48), (0, 31), (1, 32), (1, 15), (2, 8), (2, 9), (3, 7), (3, 37), (3, 51), (4, 38), (4, 52), (5, 9), (5, 35), (6, 39), (6, 28), (7, 16), (8, 50), (8, 14), (10, 17), (10, 22), (11, 28), (11, 14), (12, 36), (12, 20), (13, 15), (13, 47), (13, 59), (14, 56), (16, 24), (17, 29), (18, 41), (18, 23), (19, 21), (19, 36), (20, 58), (20, 44), (21, 25), (22, 48), (23, 49), (26, 51), (26, 53), (26, 50), (27, 46), (27, 41), (28, 33), (30, 44), (30, 52), (31, 49), (31, 53), (34, 48), (35, 44), (36, 40), (42, 55), (42, 59), (43, 57), (52, 55), (54, 56), (57, 58)]",2.757469892501831
5,"[14, 18, 32, 17, 33, 22, 5, 39, 22, 11, 48, 3, 12, 17, 35, 4, 13, 29, 40, 37, 14, 18, 19, 36, 40, 2, 9, 6, 58, 57, 15, 27, 56, 13, 54, 24, 55, 43, 20, 31, 44, 16, 20, 49, 42, 16, 35, 44, 26, 59, 43, 31, 55, 34, 56, 23, 11, 7]",161738.02115932346,"[(0, 14), (1, 18), (2, 40), (2, 9), (3, 33), (3, 12), (4, 38), (4, 13), (5, 28), (5, 39), (6, 9), (6, 58), (7, 11), (7, 59), (8, 32), (10, 17), (11, 22), (11, 23), (12, 17), (13, 47), (13, 54), (14, 37), (14, 18), (15, 46), (15, 27), (16, 54), (16, 42), (16, 35), (17, 35), (18, 19), (19, 36), (20, 51), (20, 57), (20, 49), (21, 33), (22, 25), (22, 30), (23, 56), (24, 48), (24, 55), (26, 44), (26, 59), (27, 56), (29, 39), (29, 40), (31, 52), (31, 43), (31, 55), (32, 48), (34, 55), (34, 56), (35, 44), (36, 40), (37, 41), (42, 49), (43, 50), (43, 58), (44, 53), (45, 57)]",2.1241862773895264
6,"[8, 12, 5, 46, 7, 4, 19, 21, 6, 3, 3, 32, 11, 10, 8, 24, 18, 59, 13, 9, 28, 51, 25, 0, 22, 15, 11, 51, 52, 22, 32, 31, 26, 47, 50, 57, 23, 50, 36, 13, 30, 23, 27, 56, 0, 4, 14, 57, 2, 9, 1, 47, 14, 49, 37, 40, 26, 52]",169514.90308228566,"[(0, 25), (0, 56), (0, 4), (1, 9), (1, 47), (2, 57), (2, 9), (3, 6), (3, 33), (3, 32), (4, 7), (4, 14), (5, 12), (5, 46), (6, 21), (7, 20), (8, 16), (8, 10), (8, 24), (9, 39), (10, 35), (11, 34), (11, 15), (11, 51), (12, 17), (13, 38), (13, 36), (13, 30), (14, 47), (14, 49), (15, 44), (18, 24), (18, 59), (19, 29), (19, 21), (22, 43), (22, 46), (22, 32), (23, 54), (23, 30), (23, 27), (25, 42), (26, 31), (26, 40), (26, 52), (27, 56), (28, 41), (28, 51), (31, 32), (36, 50), (37, 49), (37, 40), (45, 52), (47, 48), (50, 51), (50, 55), (52, 59), (53, 57), (57, 58)]",1.7863960266113281
7,"[4, 0, 47, 15, 8, 7, 6, 42, 46, 10, 21, 23, 18, 20, 26, 28, 51, 1, 18, 14, 13, 55, 20, 59, 21, 0, 7, 2, 16, 58, 17, 33, 37, 13, 38, 19, 6, 5, 9, 47, 31, 37, 15, 27, 22, 3, 5, 35, 33, 29, 19, 24, 50, 46, 11, 25, 32, 12]",172468.3797221715,"[(0, 4), (0, 21), (0, 7), (1, 49), (1, 18), (2, 7), (2, 16), (3, 22), (3, 5), (4, 30), (5, 6), (5, 35), (6, 40), (6, 57), (7, 8), (8, 39), (9, 58), (9, 47), (10, 43), (10, 21), (11, 46), (11, 25), (12, 32), (12, 59), (13, 14), (13, 56), (13, 38), (14, 18), (15, 36), (15, 37), (15, 27), (16, 58), (17, 54), (17, 33), (18, 23), (19, 38), (19, 29), (19, 24), (20, 45), (20, 52), (20, 59), (21, 53), (22, 27), (23, 44), (24, 50), (25, 32), (26, 48), (26, 28), (28, 51), (29, 33), (31, 47), (31, 37), (33, 35), (34, 47), (37, 55), (41, 42), (42, 46), (46, 50), (51, 55)]",1.768533706665039
8,"[6, 0, 20, 1, 32, 5, 6, 19, 19, 42, 13, 3, 4, 7, 50, 36, 9, 12, 59, 32, 53, 20, 36, 48, 27, 31, 18, 26, 2, 10, 48, 54, 11, 24, 38, 30, 39, 35, 40, 51, 47, 22, 3, 7, 41, 37, 49, 23, 4, 42, 11, 26, 43, 43, 50, 16, 13, 12]",168025.99356417826,"[(0, 14), (0, 20), (1, 15), (1, 32), (2, 56), (2, 10), (3, 28), (3, 22), (3, 7), (4, 29), (4, 23), (4, 42), (5, 17), (5, 6), (6, 8), (6, 19), (7, 33), (7, 41), (9, 45), (9, 12), (10, 48), (11, 54), (11, 42), (11, 26), (12, 13), (12, 59), (13, 25), (13, 16), (16, 50), (18, 31), (18, 26), (19, 21), (19, 42), (20, 53), (20, 36), (22, 47), (23, 49), (24, 57), (24, 38), (26, 43), (27, 55), (27, 31), (30, 38), (30, 39), (32, 52), (32, 53), (34, 50), (35, 39), (35, 40), (36, 44), (36, 48), (37, 41), (37, 49), (40, 51), (43, 58), (43, 50), (46, 59), (47, 51), (48, 54)]",1.781470775604248
9,"[6, 2, 57, 7, 21, 0, 4, 37, 15, 27, 28, 35, 7, 22, 24, 29, 58, 20, 53, 0, 22, 8, 9, 42, 5, 51, 1, 12, 21, 16, 43, 42, 1, 56, 52, 23, 30, 35, 40, 45, 13, 37, 27, 31, 31, 18, 46, 10, 5, 3, 9, 26, 36, 3, 50, 43, 10, 19]",171586.77111854922,"[(0, 25), (0, 44), (0, 22), (1, 51), (1, 42), (1, 56), (2, 6), (2, 57), (3, 5), (3, 36), (3, 50), (4, 32), (4, 37), (5, 48), (5, 57), (6, 11), (7, 14), (7, 38), (7, 22), (8, 22), (8, 9), (9, 58), (9, 26), (10, 46), (10, 43), (10, 19), (12, 53), (12, 21), (13, 45), (13, 37), (15, 33), (15, 27), (16, 21), (16, 43), (17, 21), (18, 31), (18, 46), (19, 59), (20, 41), (20, 53), (23, 52), (23, 30), (24, 39), (24, 29), (26, 36), (27, 37), (27, 31), (28, 34), (28, 35), (29, 58), (30, 35), (31, 56), (35, 40), (40, 45), (42, 47), (42, 54), (43, 50), (49, 51), (52, 55)]",1.7831532955169678
10,"[9, 40, 17, 2, 8, 16, 1, 28, 0, 14, 35, 5, 35, 49, 59, 46, 3, 4, 34, 7, 45, 14, 18, 55, 38, 54, 59, 54, 48, 57, 53, 21, 49, 20, 15, 1, 32, 16, 24, 52, 21, 36, 40, 10, 10, 6, 6, 17, 9, 20, 24, 43, 45, 0, 3, 25, 34, 13]",163728.88515130986,"[(0, 27), (0, 45), (0, 3), (1, 23), (1, 15), (1, 32), (2, 22), (2, 8), (3, 37), (3, 25), (4, 39), (4, 34), (5, 30), (5, 35), (6, 10), (6, 58), (6, 17), (7, 41), (7, 45), (8, 16), (9, 11), (9, 17), (9, 20), (10, 40), (10, 57), (12, 40), (13, 34), (13, 59), (14, 28), (14, 42), (14, 18), (15, 55), (16, 32), (16, 24), (17, 19), (18, 55), (20, 49), (20, 24), (21, 53), (21, 52), (21, 36), (24, 43), (25, 34), (26, 28), (29, 35), (31, 49), (33, 59), (35, 46), (36, 40), (38, 44), (38, 54), (43, 45), (46, 59), (47, 54), (48, 50), (48, 57), (49, 54), (51, 53), (52, 56)]",2.047250509262085
