STT,Best Cost,Best Solution,Best Tree,Time
1,"[0.35478814701901984, 0.7254128023364262, 0.3210489586776647, 0.7706947513494816, 0.4504077105655101, 0.5379199685463721, 0.26562824431944276, 0.73319931851197, 0.24398339536967317, 0.43015445022907783, 0.36499084296400397, 0.5731664802203992, 0.20275704623062196, 0.7491392431910027, 0.029240014978036077, 0.22003606990708913, 0.8466243299420931, 0.3492910955226525, 0.7760010794761966, 0.34354003099553243, 0.18259127314098278, 0.7395373688321817, 0.11938794730569657, 0.44345902583723884, 0.06343221825505496, 0.6384463471574825, 0.1283944063618363, 0.47388192520191474, 0.504173817505711, 0.5020662873559634, 0.42514443480896436, 0.3557875957655854, 0.9521291554241884, 0.4704765221650997, 0.40961668316518884, 0.1609270783569582, 0.660975805434239, 0.29075772943154077, 0.5342398594804872, 0.9615018372417005, 0.9709538757453765, 0.575247846937043, 0.13975256163809902, 0.2684943732756838, 0.830555380424768, 0.1010741441089833, 0.2640781463933829, 0.9693204960216935, 0.6602868505063263, 0.17035919370446562, 0.45217227028815477, 0.16680383455561898, 0.7370694514610026, 0.16945665791797604, 0.8374992946563184, 0.6128596039854104, 0.7051202559500971, 0.8295192774323483, 0.14109531077268223, 0.9823712797235453, 0.7492035041260348, 0.9320957523859325, 0.011548364549323842, 0.6717774515264172, 0.802395280127231, 0.9891593839202705, 0.31292515733099824, 0.5223938744072212, 0.3625640328010643, 0.7432688427012976, 0.9773897935782895, 0.39405531167638885, 0.7860988600078777, 0.8738769781041148, 0.8890158261483531, 0.5075395740612387, 0.9207755893098571, 0.1148522188166996, 0.7392779956603179, 0.46034638468664335, 0.6310364878333439, 0.8514580977272315, 0.44573424160557473, 0.655619857329827, 0.26780334968814135, 0.015710361771771097, 0.7417884773992461, 0.14349035735675386, 0.7295503543379966, 0.7721931782652073, 0.006320632786339098, 0.9163149358260778, 0.448695583576348, 0.4735753626231557, 0.5051140790433732, 0.284911611555263, 0.7212424274243342, 0.23916160361641425, 0.11362717645694587, 0.2603596139770613, 0.84963306242351, 0.18145446159044631, 0.03177494116797419, 0.6905739762665847, 0.9064573593168249]",29439.01554501841,"[(0, 8), (1, 4), (2, 8), (3, 5), (3, 12), (3, 4), (4, 14), (5, 11), (5, 7), (6, 8), (6, 14), (6, 10), (9, 11), (13, 14)]",20.639201164245605
2,"[0.23415580251257584, 0.3573803838926284, 0.9278697331389025, 0.6300516855035484, 0.30996270314215313, 0.9971949262894145, 0.17908227753308803, 0.9456550812993625, 0.6993907011116711, 0.516333072079509, 0.5889062929813504, 0.3312675030169574, 0.9676353158536465, 0.50316899310105, 0.17071840262569304, 0.71878157547388, 0.725718205382103, 0.16837671749226069, 0.3390025024639163, 0.8909062919097794, 0.23873717880683476, 0.9262373359648121, 0.9106782519940748, 0.051212498638136594, 0.018950388256501305, 0.9566330432898269, 0.28995559319026765, 0.09836174201470294, 0.49250872846093907, 0.6245785578898136, 0.33282474185565436, 0.7079454898447811, 0.15232066258643162, 0.7048012669000303, 0.08850421476503001, 0.5424755259281799, 0.5834395206416634, 0.9243242951343109, 0.7382747005702417, 0.9576526965003307, 0.21301707484237487, 0.061482568321081676, 0.8774801664633186, 0.6473075103961532, 0.97980997390766, 0.058754765155818345, 0.8103027177701916, 0.11730405768286589, 0.15727308779190396, 0.33332128560077245, 0.9836602843803908, 0.6374649460262386, 0.2727109911362128, 0.8148295937258571, 0.44871490075295395, 0.89825694144775, 0.6911148184172642, 0.1822029863146165, 0.807947794334367, 0.27185075072524034, 0.48906997624852466, 0.6711651027230349, 0.2112402854579566, 0.3873493091828065, 0.510570771917591, 0.8966381339630864, 0.7843124885101206, 0.9961046742413981, 0.8130616821094586, 0.8578393672741351, 0.581665021950661, 0.692732813383299, 0.921210640758828, 0.44247956977361447, 0.17469545477797455, 0.9755307306538566, 0.1703240324422538, 0.7372939885635368, 0.9465233453215373, 0.3663111198623896, 0.8288456759320283, 0.7632524085449698, 0.21468401706056972, 0.8892805057737053, 0.678371226732749, 0.5787464307458969, 0.687912221181734, 0.14139117464694684, 0.2758338464193759, 0.483546334102431, 0.3125285891562607, 0.18332140510552908, 0.6118025547739886, 0.23353989883698356, 0.12460632066804922, 0.760430676806198, 0.36781086057848533, 0.8683728911153477, 0.7019151734463757, 0.785667848559578, 0.14289992408230645, 0.4421849767020085, 0.5790452904190682, 0.01676740303731572, 0.9673758392087694]",23422.789260194393,"[(0, 6), (0, 8), (1, 9), (2, 14), (3, 9), (3, 4), (4, 5), (5, 13), (5, 11), (6, 13), (6, 10), (7, 9), (11, 12), (13, 14)]",20.75115990638733
3,"[0.3310114961777081, 0.2915936866574722, 0.4602084711479112, 0.24748564046346377, 0.8833801504040477, 0.381204921514555, 0.4535390334640744, 0.8920431602146263, 0.0787556265153323, 0.7802797277180122, 0.6132002601588472, 0.41976235370460957, 0.7419883244655558, 0.09559213265623867, 0.3586497702921293, 0.982291738639344, 0.6515765005570013, 0.11207115579970472, 0.7406861079064361, 0.35286583925107096, 0.6982349064939629, 0.4715022412784481, 0.8021085556252117, 0.7942750712211367, 0.5431822403816553, 0.5196198559869997, 0.6800079957222153, 0.15807469984119527, 0.32040622123170714, 0.583984396055903, 0.46691411572476216, 0.5703541594766672, 0.611009462778379, 0.3206778504599199, 0.6843521608824382, 0.050450611043888705, 0.42473960794201737, 0.5603671196269517, 0.14420985459896285, 0.1456596950164346, 0.9026546798604471, 0.7653382162269792, 0.8489882963138992, 0.5748598262152325, 0.16745201072906601, 0.5850903342481827, 0.3759830017790422, 0.6556758294127996, 0.98043013116087, 0.003516486142677633, 0.7967351536906809, 0.3746707070172497, 0.0759886513269592, 0.6052713020914241, 0.6234003029640672, 0.6387262985960067, 0.34309676806058, 0.3815699949495701, 0.30510337997719605, 0.6046958086601625, 0.19135874882138448, 0.9171143150343649, 0.2664526305607221, 0.9701780505956692, 0.39717394003195294, 0.8810496388589433, 0.13388204615295884, 0.08969990638103986, 0.6442117161390793, 0.8471005865440728, 0.7470758725942401, 0.574705680525923, 0.0760822349018353, 0.14949681864042597, 0.5620189326878651, 0.9473621281082224, 0.8251606314749415, 0.8916768041205749, 0.6725530697518439, 0.5595252047416914, 0.722916395432973, 0.7342733282926506, 0.7144613888945425, 0.27805336011669524, 0.659593682153515, 0.08958565420003395, 0.5795401548301644, 0.46039375952708206, 0.35560522636797764, 0.9861799523351038, 0.49017009788997745, 0.3716259048674716, 0.32276288336046377, 0.4831095181821524, 0.5381087108912187, 0.130366611687169, 0.5222216791113685, 0.2911318535382512, 0.938399662648728, 0.779880448023659, 0.3358249738721618, 0.8823213988197895, 0.3607070618401844, 0.8335171603615158, 0.8995119844537868]",29370.130706484953,"[(0, 8), (1, 3), (1, 11), (1, 4), (2, 10), (3, 13), (3, 5), (5, 9), (5, 7), (6, 13), (8, 14), (10, 14), (11, 12), (13, 14)]",21.08794665336609
4,"[0.5493410378628881, 0.4109819027631385, 0.5157997013068956, 0.18212725001172503, 0.6909307193285487, 0.12737615278231074, 0.16475084379206772, 0.751872776663933, 0.37715868478221437, 0.4487730420598499, 0.735165823912983, 0.5605590208481386, 0.043790553230588114, 0.09325262480255803, 0.05128388248176097, 0.9668396209318555, 0.8761656834640441, 0.6260562533186239, 0.4916575912388068, 0.46235857752702036, 0.4240087233318439, 0.4620013337548171, 0.58961561988767, 0.7261586788570504, 0.13783449795232217, 0.809223713753182, 0.28528061379490977, 0.12491408770640744, 0.5518698373623409, 0.3297503503677748, 0.9496693784562913, 0.7355560543334158, 0.8808110855077677, 0.4464897659085406, 0.9563966495136471, 0.17197359021018566, 0.44492415028352605, 0.44183328006161127, 0.6325280712541566, 0.5388359860526353, 0.09065355087454352, 0.6152655008592947, 0.2334928360010149, 0.7414366285532558, 0.2945888596078553, 0.42971200723186387, 0.35469353758647004, 0.027702225449130147, 0.29263950962035534, 0.7513650691897671, 0.8141061126809273, 0.10380470919606555, 0.4192537557036744, 0.8054960204763912, 0.5183982993490929, 0.18204457891901704, 0.9683472912641475, 0.9560945893988899, 0.7573089741715768, 0.7614495186661613, 0.7284750954737161, 0.2124028724128464, 0.79030887026365, 0.8795501079487321, 0.7538103833202108, 0.13573564425118045, 0.9377388462886102, 0.5453852275112674, 0.5964837093095574, 0.5626102459081724, 0.8825351332169791, 0.7814565485639303, 0.9389058382629808, 0.261586355928606, 0.09487022417694801, 0.09659116887511066, 0.75812318221094, 0.3199719241037503, 0.9528401857996205, 0.7303424843606637, 0.3909420185200373, 0.9199812579135703, 0.013919120342001823, 0.22390512430221243, 0.34236664841182374, 0.5985196412729236, 0.6018011770074818, 0.05023866674201227, 0.6699983207385585, 0.8787345208467974, 0.6913514362582845, 0.008184034468345036, 0.47554889599351846, 0.8060148351497771, 0.45064499166062955, 0.7676659422144549, 0.865988747918451, 0.9875855664192765, 0.6989400385503692, 0.786300925764832, 0.16958904108801698, 0.7803973624528048, 0.07257728371658567, 0.6923580052767276, 0.1761302271801548]",25197.210806076484,"[(0, 8), (1, 3), (1, 4), (1, 13), (2, 10), (2, 6), (4, 11), (4, 12), (5, 12), (6, 8), (7, 9), (7, 12), (8, 14), (10, 13)]",17.183178901672363
5,"[0.4833956457969273, 0.9429966384858334, 0.38725241324581705, 0.08455141585826009, 0.6072291851079039, 0.10886286661608668, 0.3809622750904267, 0.12746365056534115, 0.3961385647587925, 0.1884013043252395, 0.81632611296417, 0.621100685727018, 0.12618785222676965, 0.6219508597118838, 0.7498476824992698, 0.29292139696243125, 0.06880100515466836, 0.6639558390096828, 0.06905391102624059, 0.5090962268618385, 0.6175947346599756, 0.1865807968224873, 0.06068121535959459, 0.10896980514943444, 0.730447325771071, 0.12562506875532264, 0.4570329038080684, 0.28429253542986144, 0.8717134690378642, 0.3098593448902982, 0.5680058668024431, 0.12005501434443733, 0.7268803513701874, 0.35154124568637024, 0.964772499695325, 0.05722910192914343, 0.9356482054405869, 0.05764502092361978, 0.06717298186526843, 0.19930374588443844, 0.6057634674325254, 0.9859328086291137, 0.2861048725064258, 0.7636693896780709, 0.9433920047929276, 0.823495443472613, 0.15022137218000253, 0.9454092164223794, 0.10186717419716762, 0.10686250326635183, 0.04432327747735687, 0.11259992817945597, 0.315044490734135, 0.5191308620984348, 0.22791992532320382, 0.6815512998722506, 0.5352087481141983, 0.027899739723798556, 0.4197051341389636, 0.8749783229361283, 0.6834668533141037, 0.6034486733844936, 0.657266589044367, 0.01843287926117887, 0.0442558208268774, 0.9832525565031278, 0.2575100700523948, 0.05566132607442453, 0.42087993435386106, 0.9365122106395849, 0.39561551016088314, 0.7604847037611576, 0.7531473214259963, 0.307040495635419, 0.6561623478455807, 0.28692183309686203, 0.9063284650715473, 0.045562742986221094, 0.9641535488073015, 0.8665355564153618, 0.8916338861033525, 0.9484221952786678, 0.5156728255102017, 0.38958839938077083, 0.3602572460020034, 0.7745301259984159, 0.2514042708483486, 0.4701185848677061, 0.06335864319292595, 0.25074874097362687, 0.6128924411837632, 0.5399727858098502, 0.08784361130593266, 0.34763253002541583, 0.25870903110988497, 0.7053325588245885, 0.930422278326119, 0.3434901043243238, 0.020480940635708378, 0.20284580407738195, 0.47598354703030243, 0.6772591082615977, 0.8206296178909056, 0.6433317639502562, 0.6093353366757052]",32607.25178107752,"[(0, 2), (1, 5), (2, 10), (2, 12), (3, 6), (3, 12), (4, 14), (5, 11), (6, 14), (7, 9), (7, 12), (7, 11), (8, 10), (13, 14)]",21.47072696685791
6,"[0.44805112834718064, 0.01376163081836912, 0.4263337792030766, 0.31101450579358714, 0.25488382823746825, 0.5257114680307311, 0.4882005052340539, 0.7415996497186883, 0.8495963034030696, 0.8685323618391367, 0.07820982544789001, 0.3007149416685355, 0.13624004020573566, 0.6909316054057923, 0.18706553434285567, 0.3854868052239466, 0.05375873083427318, 0.32855957502046396, 0.7301808289566871, 0.6497982810883888, 0.7612405748696844, 0.2032678698282352, 0.6867926831085545, 0.20404573507860513, 0.6131732549902349, 0.7807245712343389, 0.23320939664156815, 0.746351294876413, 0.5779156555367863, 0.018717199513383465, 0.16773470437469518, 0.3920632879949294, 0.9132159632085582, 0.5004867643891594, 0.8060243717756786, 0.4704233067538195, 0.29115196139408306, 0.5690108299177287, 0.9862714556126824, 0.6658837179077464, 0.5252300929278554, 0.9042610202275804, 0.559094749516434, 0.5823198309162237, 0.8664844259471637, 0.1880215742280651, 0.03144106274202185, 0.15606851025545176, 0.7271104415073517, 0.5563636843584099, 0.6529555245769618, 0.5949922901526918, 0.01086559141833976, 0.6643046719733098, 0.4579114232260222, 0.11343312538019501, 0.6196525001868398, 0.9898038548914995, 0.8870259423053265, 0.8987591359852494, 0.3416742511194526, 0.2816607900831065, 0.04834381261249843, 0.9909193773732029, 0.2904376131511466, 0.09408605712363682, 0.872587460883139, 0.7305260080431479, 0.926660324968561, 0.37296529364800435, 0.3913562670013496, 0.7357301118050003, 0.861052999208188, 0.6354232754926058, 0.7805071437585412, 0.4557182415642689, 0.5722803362608352, 0.264424735924476, 0.9474199389390051, 0.21466918359174314, 0.8259126484092164, 0.2130513145537124, 0.8595556454782488, 0.9232071338774034, 0.45788326134512936, 0.2748326702630908, 0.0019323875874347474, 0.04858884494794091, 0.8868752782030784, 0.8870259423053265, 0.27848290216857496, 0.999634095599839, 0.0718011685254849, 0.8489310835146685, 0.4542495259717031, 0.013168690309242503, 0.057133410803056894, 0.1923256131980804, 0.4666136348321319, 0.9749635654800645, 0.0036804218847157344, 0.2967796970200359, 0.7238992112134633, 0.9962845876146427, 0.28127044958648917]",28503.442506427178,"[(0, 10), (1, 13), (2, 14), (2, 8), (2, 10), (3, 6), (4, 12), (4, 13), (5, 9), (6, 10), (7, 9), (9, 11), (11, 12), (12, 14)]",18.017679691314697
7,"[0.7317751284940129, 0.11463573293366203, 0.0678174431382601, 0.8554282352411676, 0.6480083621033605, 0.7466508142204703, 0.21804999484446974, 0.8467332078487791, 0.5543335071983791, 0.9524673397333975, 0.5118781225049576, 0.8196947811996818, 0.8268905767394279, 0.07013075845960648, 0.0499622605026534, 0.5818235721516767, 0.9106923228387893, 0.7907204124583849, 0.7151947126380561, 0.5890213664494922, 0.009204956977781231, 0.11106991182147541, 0.023574950549309026, 0.6245308624861129, 0.826503065507073, 0.8939970326272392, 0.362143115342085, 0.9437865661732644, 0.731949232931912, 0.8365856717415002, 0.6243222060379571, 0.7659854637732896, 0.10591110291375372, 0.932789546932195, 0.22453986461217068, 0.13307506890503518, 0.5290878180749405, 0.08020257955112531, 0.9026488837823659, 0.6076661693079736, 0.7466508142204703, 0.07750125566475263, 0.3468449907125021, 0.022216494492974137, 0.956621114359352, 0.5960094901452211, 0.850041379463631, 0.6299490368626479, 0.6249278439763296, 0.8903902230623376, 0.39154300283506094, 0.1561273761640064, 0.7323527981312741, 0.7688087348235503, 0.746646147166692, 0.7715913710122118, 0.5354931371139325, 0.8456415461113319, 0.7875820132914454, 0.03007820395157912, 0.020960417624214855, 0.19534272539068032, 0.8114877161398395, 0.8173436855965288, 0.3463708534221537, 0.9376735232193781, 0.7456524445756187, 0.878443701387958, 0.2695294565583942, 0.519760856652531, 0.17744378288773732, 0.6543840105354295, 0.9614836066461223, 0.6216279906498606, 0.5006564884162887, 0.8687028701395704, 0.43048479303939136, 0.05732516431487733, 0.9777241694317154, 0.12228970234795578, 0.49229530326674, 0.6253852780287403, 0.7087375982404773, 0.6702842646712474, 0.38039132685163424, 0.007882212494224161, 0.5910933410720538, 0.55731423715304, 0.1947819590504215, 0.13276781838595375, 0.7171978526796746, 0.9715446438340957, 0.08504268391413483, 0.16124598422425773, 0.7798252412691766, 0.16061714167921004, 0.640134274046742, 0.02241934006624202, 0.2774468307873038, 0.9211769645871251, 0.9842797923731826, 0.009306202580018352, 0.525520645948706, 0.23097517641005483, 0.36471480103702847]",24361.67479492196,"[(0, 10), (0, 8), (1, 4), (1, 13), (2, 3), (2, 14), (3, 9), (4, 12), (5, 11), (6, 10), (6, 13), (7, 9), (9, 11), (11, 13)]",19.21303915977478
8,"[0.589165808998681, 0.7844076694436286, 0.8004387886728382, 0.47066035319932853, 0.25303854104039436, 0.5283117761726477, 0.3554083094607071, 0.9989271902756902, 0.23034747339852957, 0.9561999806943178, 0.14205092264709063, 0.9285445068100429, 0.6648784994727421, 0.014294718277210294, 0.8807141167592327, 0.03747445166135299, 0.3703894293961255, 0.04832480627375635, 0.492970047910392, 0.5662292037734005, 0.288215506505212, 0.25729841145718557, 0.30981648949462204, 0.625589045375344, 0.9088615376763561, 0.7517011524727417, 0.03434482812265516, 0.8314579010473293, 0.1864799321698729, 0.6452832311718846, 0.15508752434548978, 0.23385236707487134, 0.24272071611780244, 0.5214032198782744, 0.9424840251972216, 0.014074802915168383, 0.11689848863496854, 0.7407375662387117, 0.9613133488998153, 0.31022229884739205, 0.051721600335436047, 0.5090488848398826, 0.807857664889329, 0.8647928576731393, 0.0344254801444519, 0.47514501117395824, 0.5421472621596717, 0.9937429037680702, 0.6000353630614143, 0.3469560446719977, 0.4575621548581199, 0.28463254252107995, 0.6661289774313908, 0.7739062466263656, 0.09900070223470636, 0.6469342902820631, 0.8589680460932191, 0.36185155371900746, 0.9730645107746381, 0.4645645270417351, 0.5172562741121398, 0.36844195877615515, 0.07567267413698586, 0.9680929632525119, 0.47066035319932853, 0.9968124134847586, 0.06200411264511141, 0.8737225244868558, 0.3417153065467009, 0.7291062663651363, 0.08831840629385024, 0.394882880213979, 0.48499686177451795, 0.02305156306757561, 0.8845610366585243, 0.23668530777106833, 0.894725693632895, 0.8511752740895785, 0.9055312855440345, 0.5198183516644829, 0.0022644009248785624, 0.7803649871202091, 0.5599238051861276, 0.7613965539764878, 0.3121650579434283, 0.6982833001682627, 0.3371623140050085, 0.7267627720261556, 0.06505719184561165, 0.2704610946591527, 0.7954898136484774, 0.23187873750142252, 0.2781151932781216, 0.6209623958542054, 0.4491746200581699, 0.1306075415729947, 0.5272879994905801, 0.7191741096033188, 0.7825210213482116, 0.9461895273998427, 0.9988657758836852, 0.713536144879642, 0.33326460102411337, 0.3662146010677588, 0.9738635381793224]",23899.175062956336,"[(0, 8), (0, 10), (1, 12), (2, 14), (2, 10), (3, 12), (4, 13), (5, 11), (5, 9), (6, 14), (7, 9), (11, 13), (11, 12), (13, 14)]",18.91414761543274
9,"[0.4860423805895495, 0.8195273836333407, 0.3703969931097476, 0.702477276976658, 0.1511136897656561, 0.45746173880801155, 0.3091621353491084, 0.9999105128131697, 0.030946948454578904, 0.32941861163059194, 0.7565618243179675, 0.7105146795137087, 0.7693064971258822, 0.9363482827425667, 0.36770036472213896, 0.5467683728041781, 0.8815938730726336, 0.4928016545440941, 0.5462962395855071, 0.680761193493119, 0.4487408039496359, 0.4296608498504294, 0.3362742039718384, 0.6358521997482243, 0.6734235776581037, 0.3015957519447753, 0.680671445635714, 0.24476241574350788, 0.9168654827953708, 0.7050414226928836, 0.2222537892014943, 0.739296119431563, 0.7091478421695462, 0.686140977180172, 0.9887380147680648, 0.2730783181929427, 0.9824977764975765, 0.907847382982375, 0.5998664857182451, 0.9999049336996595, 0.898168767286125, 0.22116390089863802, 0.7152286001082417, 0.5488089749335859, 0.3898698322941718, 0.5233469749173638, 0.09732543060121313, 0.271574281865427, 0.5673228101860617, 0.5788873277951196, 0.6400821220398507, 0.8283963669557661, 0.6703989036376719, 0.407893783741342, 0.8624260214952433, 0.19279846546711132, 0.838867179906913, 0.2821577643709856, 0.9642632403720628, 0.8428720181594606, 0.006015076962746169, 0.9575108829700583, 0.813092741156728, 0.16676321572968344, 0.3635558487041769, 0.9978423725994465, 0.14100426142689582, 0.8020914275362606, 0.5008059057927657, 0.6439807134301649, 0.8389672558303256, 0.25438844783761916, 0.250578680099255, 0.631910530411213, 0.09809357193952106, 0.15648112999433594, 0.8758196330914801, 0.7716721047529868, 0.9717166950218906, 0.29786107023167363, 0.0241815033247591, 0.5129938831953583, 0.47148049705921424, 0.2869898988237979, 0.6966313384420839, 0.9385760914674295, 0.7977654394274383, 0.45623102820702655, 0.024040555106983108, 0.7517194755399096, 0.26537827420348803, 0.49065011884164567, 0.9880759639900103, 0.8527044627211374, 0.35015284264122415, 0.32365539620433625, 0.923677697043087, 0.5986897595461637, 0.1990689549378628, 0.2176021813461333, 0.07765853715638771, 0.6462865215071708, 0.04356177050855625, 0.4857810923795791, 0.9729353773976196]",20689.061260479913,"[(0, 8), (0, 14), (1, 4), (2, 10), (2, 12), (3, 4), (4, 13), (5, 11), (5, 7), (6, 14), (7, 9), (8, 10), (9, 12), (13, 14)]",19.594778537750244
10,"[0.4815643296078479, 0.8457987425139337, 0.7556683057641383, 0.3982221468492019, 0.4013914458402821, 0.38824949687964927, 0.08003185167735705, 0.8908160669625936, 0.4616256458456257, 0.4360010456096829, 0.564895820897414, 0.7287549166221924, 0.7351121583413684, 0.4359530261266452, 0.9348928018042056, 0.7402248316487877, 0.9609352567028927, 0.5559209147316105, 0.08858237583704553, 0.9346374070413689, 0.015166747407371006, 0.5758045974010149, 0.4001857844381911, 0.41419165647669165, 0.030361099673187786, 0.9962546030628007, 0.4681015602312496, 0.7873130666864593, 0.7357843580140785, 0.8029940317165835, 0.9564965684240031, 0.007275476836714478, 0.27647454273933136, 0.5974288445442119, 0.5268321789840412, 0.791037100500219, 0.5890008356717619, 0.7931827560650213, 0.177974976533807, 0.9565377409479513, 0.33111557736703945, 0.23681532713236508, 0.6094795946981424, 0.4436594520179674, 0.7162680088163793, 0.7515349282460001, 0.5500213281439598, 0.7171300398214957, 0.3799189313840182, 0.2573162882032207, 0.19254253052485448, 0.6694352136979771, 0.4871270649678717, 0.022038339063266688, 0.6596210083393822, 0.7120548974893942, 0.27242115370558995, 0.5932764528944529, 0.3578872604848695, 0.957572371847715, 0.7866956623972076, 0.8538968512280113, 0.5143646406072523, 0.3702725588319281, 0.5272969363194796, 0.8965670707466511, 0.08776090459216779, 0.5882002206078103, 0.5071283003557233, 0.16163649365607213, 0.3667850939376356, 0.69175459004318, 0.9220208046998472, 0.7372957080781509, 0.8329964089736183, 0.621931997420658, 0.2782209869540061, 0.7905989268655342, 0.8280739853580996, 0.5160661258492506, 0.8608496608508368, 0.676131364380227, 0.712952987813941, 0.3323396518420465, 0.7927258716321907, 0.2331633408784336, 0.37601740432339936, 0.030497875780516437, 0.10239156624937007, 0.9766076833590246, 0.7443928376823616, 0.320957245732869, 0.8043680324061988, 0.37773090917813434, 0.7677592706496067, 0.041931256516801074, 0.41826291448775954, 0.5128859598750475, 0.6101292622094516, 0.9499722911478258, 0.4751372062633663, 0.3772667925195422, 0.5073415869830176, 0.29625878194091515, 0.9760470442119086]",20963.035859028492,"[(0, 8), (1, 13), (1, 4), (1, 2), (2, 6), (3, 4), (5, 11), (6, 10), (6, 12), (7, 11), (7, 9), (8, 14), (11, 12), (13, 14)]",17.307109832763672
