STT,Best Cost,Best Solution,Best Tree,Time
1,"[5, 14, 13, 9, 1, 12, 13, 9, 3, 12, 3, 10, 0]",25792.163872249515,"[(0, 10), (0, 14), (1, 7), (1, 12), (2, 5), (3, 9), (3, 12), (3, 10), (4, 14), (5, 13), (6, 9), (8, 13), (9, 11), (12, 13)]",0.7595677375793457
2,"[9, 2, 13, 4, 3, 11, 1, 3, 7, 11, 0, 14, 5]",28720.44530020492,"[(0, 11), (0, 14), (1, 12), (1, 3), (2, 8), (2, 13), (3, 4), (3, 7), (4, 9), (5, 13), (5, 14), (6, 9), (7, 11), (10, 11)]",0.8565108776092529
3,"[0, 14, 13, 3, 6, 9, 10, 10, 4, 1, 14, 8, 4]",26386.563285218817,"[(0, 2), (0, 14), (1, 12), (1, 14), (3, 7), (3, 6), (4, 10), (4, 8), (4, 14), (5, 13), (6, 9), (8, 13), (9, 10), (10, 11)]",0.8165521621704102
4,"[14, 12, 11, 9, 9, 14, 3, 10, 3, 12, 2, 5, 5]",26458.491085899077,"[(0, 14), (1, 12), (2, 12), (2, 5), (3, 9), (3, 10), (3, 12), (4, 11), (5, 13), (5, 14), (6, 9), (7, 9), (8, 14), (10, 11)]",1.0717902183532715
5,"[5, 1, 3, 4, 7, 10, 4, 0, 14, 9, 13, 12, 8]",32281.951371056562,"[(0, 4), (0, 14), (1, 5), (1, 3), (2, 5), (3, 4), (4, 10), (6, 7), (7, 10), (8, 12), (8, 14), (9, 11), (9, 13), (12, 13)]",0.7625651359558105
6,"[5, 8, 1, 12, 13, 6, 11, 4, 10, 3, 13, 5, 3]",28822.051581378073,"[(0, 5), (1, 7), (1, 12), (2, 8), (3, 10), (3, 5), (3, 14), (4, 11), (4, 10), (5, 13), (6, 9), (6, 11), (8, 13), (12, 13)]",0.7715578079223633
7,"[1, 12, 3, 4, 0, 10, 6, 12, 2, 8, 5, 5, 0]",27584.57625938311,"[(0, 4), (0, 5), (0, 14), (1, 7), (1, 12), (2, 12), (2, 8), (3, 9), (3, 4), (5, 8), (5, 13), (6, 10), (6, 12), (10, 11)]",0.7605640888214111
8,"[4, 9, 3, 1, 9, 11, 10, 3, 5, 8, 5, 2, 0]",27311.58336709813,"[(0, 2), (0, 14), (1, 12), (1, 9), (2, 5), (3, 7), (3, 10), (3, 5), (4, 6), (4, 9), (5, 8), (8, 13), (9, 11), (10, 11)]",0.7395792007446289
9,"[0, 14, 10, 8, 1, 7, 11, 9, 3, 8, 12, 3, 7]",26164.47361817279,"[(0, 2), (0, 14), (1, 6), (1, 7), (3, 9), (3, 12), (3, 7), (4, 10), (5, 8), (7, 14), (8, 13), (8, 12), (9, 11), (10, 11)]",0.7545669078826904
10,"[0, 14, 7, 3, 1, 12, 12, 11, 9, 9, 3, 13, 5]",28758.209431923347,"[(0, 2), (0, 14), (1, 7), (1, 12), (3, 6), (3, 9), (3, 13), (4, 7), (5, 13), (5, 14), (8, 12), (9, 11), (9, 12), (10, 11)]",0.7455942630767822
